# Official results - the 37th PZU Warsaw Marathon (2015)
# Source: https://pzumaratonwarszawski.com/en/aktualnosci/official-results/
# `mins` gives the gun time in minutes
sex,country,category,mins
M,PL,M40,227.1
M,PL,M20,227.43
M,PL,M50,227.48
M,PL,M40,227.47
M,PL,M20,227.8
M,PL,M40,227.48
M,PL,M30,228.58
M,PL,M30,226.92
M,PL,M30,227.43
M,PL,M60,226.93
M,PL,M40,226.43
M,PL,M30,227.52
M,PL,M40,228.53
M,PL,M40,227.33
F,PL,F40,227.88
M,PL,M40,228.2
M,PL,M50,228.32
M,PL,M50,228.33
M,PL,M30,227.17
M,PL,M30,227.2
M,PL,M30,227.37
M,PL,M40,227.15
M,PL,M50,227.93
F,PL,F50,228.18
M,PL,M30,227.32
M,PL,M40,225.42
M,PL,M40,225.83
M,PL,M50,227.72
M,PL,M30,226.53
M,PL,M30,227.45
M,PL,M30,225.42
M,PL,M30,228.03
M,PL,M40,227.05
M,GB,M30,230.13
M,PL,M40,226.97
F,PL,F30,228.28
M,PL,M40,227.68
F,PL,F40,227.18
M,PL,M30,227.15
M,PL,M30,228.35
M,PL,M40,226.07
M,PL,M50,228.02
F,PL,F30,228.25
M,PL,M30,227.92
M,PL,M40,227.8
M,PL,M30,228.23
M,PL,M40,227.95
M,PL,M30,228.48
M,PL,M20,227.18
F,PL,F20,228.2
M,PL,M30,229.48
M,GB,M30,226.95
M,PL,M40,229.25
M,PL,M30,226.9
F,PL,F30,228.93
M,PL,M40,230.85
M,PL,M30,227.2
M,PL,M30,228.53
M,PL,M40,227.12
M,PL,M40,227.95
F,IL,F40,226.15
M,PL,M30,229.38
M,PL,M30,228.0
M,NO,M30,228.83
M,PL,M40,228.32
M,PL,M30,226.05
M,PL,M30,229.57
F,PL,F30,227.97
M,PL,M30,227.08
M,PL,M30,229.32
M,PL,M30,229.42
M,PL,M30,229.17
M,PL,M40,228.92
M,PL,M30,229.28
M,PL,M30,227.27
M,PL,M50,226.13
M,PL,M20,227.72
M,PL,M30,229.22
M,PL,M50,230.12
M,PL,M40,227.07
M,PL,M20,228.52
M,PL,M40,228.98
M,PL,M30,227.35
M,PL,M30,228.92
M,PL,M40,229.72
M,PL,M30,228.73
M,PL,M40,226.88
M,PL,M20,227.05
M,PL,M30,227.53
M,PL,M40,229.73
M,PL,M40,228.63
M,PL,M30,231.43
M,PL,M30,230.23
M,PL,M30,229.08
M,PL,M30,231.47
M,PL,M40,228.23
M,PL,M30,229.77
M,PL,M40,227.3
M,PL,M30,227.4
M,PL,M40,227.15
M,PL,M50,235.3
M,PL,M40,227.47
F,PL,F30,229.7
M,PL,M30,228.45
M,PL,M30,228.15
M,PL,M20,226.88
M,PL,M60,228.58
M,PL,M50,229.58
M,PL,M30,229.73
M,PL,M20,229.0
M,PL,M40,229.5
M,PL,M50,228.82
M,PL,M40,227.42
M,PL,M40,230.2
M,PL,M40,229.93
M,PL,M30,228.52
M,PL,M20,228.78
M,PL,M20,229.73
M,PL,M20,227.85
M,PL,M40,235.95
M,PL,M50,230.02
M,PL,M30,230.58
M,PL,M20,227.37
M,PL,M30,229.7
M,PL,M30,227.85
M,PL,M40,229.8
M,PL,M30,229.33
M,GR,M30,232.9
M,PL,M20,230.1
M,PL,M40,230.15
M,PL,M50,229.12
M,PL,M30,229.28
M,PL,M40,229.77
F,PL,F20,230.15
M,PL,M40,229.67
F,LV,F50,229.5
M,PL,M30,229.75
M,PL,M40,229.57
M,PL,M30,230.42
F,PL,F20,229.9
M,PL,M20,228.53
F,PL,F20,231.73
M,PL,M30,230.52
M,PL,M30,231.63
M,PL,M30,228.93
M,PL,M30,230.05
M,PL,M30,229.88
F,PL,F40,230.62
F,PL,F30,229.93
M,PL,M30,229.87
F,PL,F40,229.47
M,PL,M20,231.03
M,PL,M20,228.2
M,PL,M50,228.75
M,PL,M40,229.48
M,PL,M20,231.73
M,PL,M40,229.73
F,PL,F30,230.8
M,PL,M30,229.78
M,PL,M50,227.38
M,PL,M30,229.3
M,PL,M30,230.78
M,PL,M40,230.08
M,PL,M30,227.75
M,PL,M30,229.87
M,PL,M30,229.98
M,PL,M40,232.15
M,PL,M30,229.28
M,PL,M20,230.45
M,PL,M40,230.88
M,PL,M30,230.05
M,PL,M20,230.32
M,PL,M70,228.1
F,PL,F30,229.67
M,PL,M30,230.65
F,PL,F20,230.8
M,PL,M40,230.53
F,PL,F20,231.57
M,PL,M50,234.98
F,PL,F20,229.98
M,PL,M60,228.4
M,PL,M20,230.68
M,PL,M40,229.78
M,AT,M50,230.0
M,PL,M30,230.77
M,PL,M20,229.9
M,PL,M20,233.9
M,PL,M40,229.4
M,PL,M40,232.9
M,PL,M30,228.23
F,PL,F20,228.68
M,PL,M40,228.25
M,PL,M40,230.27
M,PL,M40,230.62
F,PL,F30,230.88
M,PL,M30,235.03
M,PL,M50,230.58
M,PL,M30,229.53
F,PL,F30,234.3
M,PL,M30,229.65
M,PL,M20,230.5
M,PL,M40,234.42
M,PL,M40,230.15
M,PL,M50,230.65
M,PL,M60,228.03
M,PL,M30,229.67
M,PL,M40,230.38
M,PL,M30,231.02
M,PL,M30,229.55
M,PL,M20,230.72
M,PL,M30,232.92
F,PL,F40,231.75
M,PL,M40,231.12
F,PL,F20,230.42
M,PL,M40,229.43
M,PL,M40,233.63
M,PL,M40,230.9
M,PL,M30,230.78
M,PL,M40,230.57
M,PL,M50,232.25
M,PL,M40,232.3
F,PL,F20,231.33
M,PL,M40,229.08
M,PL,M50,231.27
M,PL,M40,230.4
M,PL,M20,231.03
F,PL,F30,230.72
M,PL,M50,234.95
M,PL,M20,230.42
M,PL,M30,230.8
M,PL,M50,230.77
M,PL,M30,229.77
M,PL,M30,230.72
M,PL,M40,231.83
F,PL,F20,231.77
M,PL,M40,232.45
M,PL,M20,231.2
M,PL,M40,231.48
M,NO,M40,229.95
M,PL,M30,229.4
F,PL,F30,231.37
M,PL,M40,231.68
M,PL,M40,232.5
M,PL,M30,233.67
M,PL,M40,231.63
M,PL,M30,231.73
M,PL,M50,230.45
M,PL,M30,231.18
M,PL,M30,231.32
M,PL,M30,230.68
M,BY,M20,229.48
M,PL,M30,231.37
M,PL,M40,230.8
M,PL,M20,229.15
M,PL,M30,230.68
M,PL,M40,231.65
M,PL,M30,229.93
M,PL,M30,231.83
M,PL,M20,231.73
M,PL,M30,231.42
M,PL,M30,231.7
M,PL,M30,232.02
M,PL,M20,231.88
M,PL,M20,230.15
M,PL,M30,231.55
M,PL,M30,232.58
M,PL,M30,232.42
M,PL,M30,230.08
M,UA,M20,234.7
M,PL,M30,232.05
M,PL,M40,234.27
M,PL,M20,234.7
M,PL,M30,230.08
M,PL,M60,231.55
M,PL,M20,231.52
M,PL,M30,230.43
M,PL,M20,231.42
M,PL,M50,231.88
M,PL,M20,232.32
M,PL,M30,229.55
M,DK,M30,229.83
M,PL,M30,231.78
M,PL,M30,231.87
M,PL,M30,232.27
M,PL,M30,231.25
M,PL,M20,232.17
F,PL,F30,231.52
M,PL,M20,231.72
M,PL,M20,231.7
M,PL,M20,230.92
M,PL,M30,232.0
M,PL,M20,232.4
F,PL,F20,232.18
M,PL,M50,231.53
M,PL,M40,231.43
F,PL,F30,231.33
M,PL,M30,231.52
M,PL,M60,232.13
M,GB,M50,231.2
M,PL,M30,233.6
M,PL,M40,233.68
M,PL,M30,232.15
M,PL,M30,230.37
M,PL,M40,234.35
M,PL,M40,232.13
M,PL,M30,232.25
M,PL,M30,232.35
M,PL,M20,231.07
M,PL,M40,232.55
M,PL,M30,232.4
M,PL,M20,232.47
F,PL,F40,232.25
M,PL,M30,232.15
M,PL,M20,231.87
M,PL,M40,232.25
M,PL,M30,233.98
F,PL,F30,232.27
M,PL,M40,233.2
M,PL,M30,232.85
M,PL,M30,238.52
M,PL,M50,232.57
M,PL,M40,232.58
M,PL,M30,231.98
M,PL,M40,231.85
M,PL,M30,232.0
F,GB,F40,232.38
M,PL,M30,232.0
M,PL,M30,230.85
M,PL,M30,231.85
M,PL,M30,237.18
M,PL,M40,230.67
M,PL,M30,234.08
M,PL,M20,233.0
M,PL,M40,232.17
M,PL,M30,231.13
M,PL,M30,232.85
M,PL,M30,231.12
M,PL,M20,230.42
M,PL,M40,232.72
F,PL,F30,231.72
M,PL,M30,235.98
M,PL,M40,232.78
M,PL,M30,233.35
F,GB,F20,239.47
M,PL,M30,236.15
M,PL,M30,233.92
M,PL,M30,233.35
M,PL,M40,232.22
M,PL,M40,232.8
M,PL,M40,231.13
M,PL,M30,231.43
M,PL,M40,232.87
M,IR,M40,232.7
M,GB,M30,232.7
M,PL,M40,232.62
M,PL,M20,235.85
M,PL,M30,232.3
M,PL,M30,232.52
M,PL,M50,231.95
M,PL,M40,231.75
M,PL,M40,232.22
M,PL,M30,233.02
M,PL,M30,232.25
M,PL,M20,232.93
M,PL,M50,232.87
M,PL,M20,232.67
M,PL,M20,231.65
M,PL,M40,231.8
M,PL,M30,231.35
M,PL,M30,235.08
M,PL,M40,232.93
M,PL,M30,232.1
M,PL,M30,232.67
M,PL,M20,232.93
M,PL,M30,232.18
M,PL,M20,234.4
M,PL,M30,230.47
M,PL,M50,231.4
F,PL,F40,232.23
M,NZ,M30,233.82
M,PL,M40,232.67
M,PL,M50,233.05
M,FR,M50,230.8
M,PL,M40,232.37
M,PL,M40,231.63
M,PL,M40,232.63
M,PL,M50,231.5
M,PL,M30,232.45
F,PL,F30,232.75
M,PL,M50,232.73
M,PL,M40,232.2
M,PL,M40,234.78
M,PL,M40,232.67
M,ES,M40,233.03
M,PL,M20,231.47
M,PL,M30,233.12
F,PL,F20,234.67
M,PL,M30,232.83
M,PL,M20,234.7
M,PL,M40,233.48
M,PL,M40,232.68
M,PL,M20,231.18
M,PL,M30,232.95
F,PL,F30,235.1
M,PL,M40,233.33
M,PL,M30,238.07
M,PL,M40,235.62
M,CZ,M30,232.43
M,PL,M30,233.27
M,PL,M40,234.02
M,PL,M30,232.05
M,PL,M40,238.37
M,PL,M60,230.68
M,PL,M30,235.08
M,PL,M30,233.73
M,PL,M30,233.33
M,PL,M50,233.08
M,PL,M40,235.25
M,PL,M40,235.25
M,PL,M20,233.03
M,PL,M30,235.05
F,PL,F30,232.98
M,GB,M40,233.4
M,PL,M50,233.28
M,PL,M20,233.95
M,PL,M40,233.15
M,PL,M20,235.62
M,PL,M40,233.85
M,PL,M40,234.23
M,PL,M30,233.4
M,PL,M40,233.42
M,PL,M30,231.5
M,PL,M40,232.92
M,PL,M30,238.05
M,PL,M50,232.42
M,PL,M50,236.2
M,PL,M30,233.22
M,ES,M30,232.25
M,PL,M40,236.3
M,PL,M30,235.98
M,PL,M20,231.93
F,PL,F20,233.32
M,PL,M20,232.27
M,PL,M20,233.32
M,PL,M30,233.58
M,PL,M40,233.98
M,PL,M50,236.97
M,PL,M30,233.32
F,PL,F30,235.9
M,PL,M30,234.2
M,PL,M20,234.22
M,PL,M30,233.2
M,PL,M30,233.13
M,FR,M30,234.15
M,PL,M30,231.97
M,PL,M30,232.67
M,PL,M30,233.97
M,PL,M40,233.73
F,PL,F20,233.3
M,PL,M40,232.4
M,PL,M40,234.57
M,PL,M30,232.7
M,PL,M30,234.6
M,PL,M20,233.8
M,PL,M40,237.2
M,PL,M20,233.95
M,PL,M40,233.48
M,PL,M20,234.45
M,PL,M30,233.42
M,PL,M30,233.72
M,PL,M40,233.93
M,DE,M50,231.57
M,PL,M40,233.62
M,PL,M40,234.15
M,PL,M30,234.1
M,PL,M30,233.57
F,PL,F30,234.15
M,PL,M20,237.6
M,PL,M40,235.97
M,PL,M40,235.35
M,PL,M30,234.6
M,PL,M40,234.7
M,PL,M40,237.47
M,PL,M70,235.63
M,PL,M40,233.58
M,PL,M30,236.95
M,PL,M40,234.28
M,PL,M30,234.18
M,PL,M40,234.0
M,PL,M40,234.83
M,PL,M50,238.32
M,PL,M30,235.6
M,DE,M30,232.92
M,PL,M30,233.97
M,PL,M20,234.78
M,IL,M50,235.02
M,PL,M40,234.5
M,PL,M20,235.27
M,PL,M40,234.92
M,PL,M30,234.48
M,PL,M40,232.8
M,PL,M30,236.9
M,PL,M40,236.92
M,PL,M30,235.67
M,PL,M40,235.18
F,PL,F20,237.33
M,PL,M30,235.8
M,PL,M30,233.28
M,PL,M40,234.62
M,PL,M30,232.75
M,PL,M20,232.58
M,PL,M40,236.23
M,PL,M30,233.92
M,PL,M20,233.72
M,PL,M50,234.9
M,PL,M40,236.67
M,JP,M50,235.37
M,PL,M40,232.65
M,PL,M40,233.73
M,PL,M30,233.78
M,PL,M30,237.6
M,PL,M40,234.83
M,PL,M30,233.98
M,PL,M50,233.45
M,PL,M40,237.35
F,PL,F30,233.1
M,PL,M20,232.78
M,PL,M40,235.23
M,PL,M30,235.23
M,DE,M30,235.9
M,PL,M40,233.45
M,US,M50,233.2
M,PL,M30,233.58
F,PL,F20,237.02
M,PL,M40,235.65
M,PL,M30,234.68
M,PL,M40,234.82
M,PL,M20,235.62
M,PL,M40,235.48
M,PL,M60,236.17
M,PL,M30,235.1
M,PL,M40,233.68
M,PL,M20,237.7
M,PL,M30,235.0
M,PL,M40,235.37
M,ES,M30,235.18
M,PL,M20,234.68
M,PL,M40,235.42
M,PL,M30,235.72
M,PL,M40,237.63
M,PL,M30,233.67
M,PL,M40,236.38
M,PL,M20,235.78
M,PL,M20,235.63
M,PL,M20,234.73
F,RO,F30,235.2
M,PL,M40,235.82
M,PL,M30,235.2
M,PL,M40,237.68
M,PL,M60,234.93
F,PL,F20,236.0
M,PL,M50,236.63
M,PL,M40,235.98
M,PL,M30,234.1
M,PL,M40,235.48
M,UA,M30,234.58
M,PL,M20,233.88
M,PL,M20,236.02
M,PL,M50,234.3
M,PL,M20,236.93
F,PL,F20,236.8
M,PL,M30,235.25
M,PL,M40,236.5
M,SE,M50,237.8
M,PL,M30,236.17
M,PL,M40,236.4
M,PL,M20,236.73
M,PL,M20,235.88
M,PL,M30,236.9
M,PL,M30,234.78
M,PL,M30,235.27
M,PL,M40,236.12
F,PL,F40,235.58
M,PL,M30,235.43
M,PL,M30,239.73
M,PL,M40,235.67
M,PL,M40,234.97
F,PL,F30,235.77
M,PL,M30,234.0
M,PL,M30,235.13
M,PL,M60,237.18
M,PL,M20,234.57
M,PL,M40,236.3
M,PL,M30,235.88
M,PL,M30,234.55
M,GB,M20,238.5
M,PL,M30,236.32
M,PL,M50,234.72
M,PL,M40,234.37
M,PL,M30,238.3
F,BY,F50,235.62
M,PL,M30,238.33
M,PL,M40,236.57
M,PL,M40,237.13
M,FR,M40,235.25
M,PL,M40,233.93
M,PL,M30,237.88
M,PL,M30,235.48
M,PL,M40,235.58
F,PL,F30,238.5
M,PL,M40,236.87
M,PL,M40,237.02
M,PL,M30,237.0
F,PL,F30,240.15
M,JP,M30,234.53
M,PL,M30,236.48
F,PL,F20,235.97
M,PL,M30,237.08
M,PL,M40,236.48
M,PL,M40,235.82
M,PL,M30,238.13
M,PL,M30,237.03
M,PL,M30,234.85
M,PL,M30,235.57
M,PL,M40,236.83
F,PL,F30,236.2
M,PL,M30,235.55
M,PL,M40,234.07
M,PL,M30,234.95
F,PL,F20,237.78
M,PL,M30,237.4
M,PL,M30,235.97
M,PL,M30,235.45
M,PL,M20,236.77
M,PL,M40,239.37
M,PL,M40,235.55
M,PL,M40,236.07
M,PL,M30,237.42
M,PL,M20,239.4
M,AT,M60,235.48
M,PL,M30,238.88
F,PL,F20,237.53
F,PL,F40,237.32
M,PL,M60,238.08
M,PL,M50,236.83
F,PL,F30,237.63
M,PL,M40,235.05
M,PL,M20,240.08
M,PL,M50,237.12
M,PL,M30,237.6
M,PL,M20,238.45
M,PL,M20,235.17
M,PL,M20,237.95
M,PL,M40,237.35
M,PL,M40,237.33
M,PL,M30,237.55
M,PL,M40,239.07
M,PL,M30,236.1
M,SE,M40,236.2
M,PL,M20,236.32
M,PL,M20,237.05
M,BY,M40,237.73
M,PL,M20,238.53
M,PL,M30,236.68
M,PL,M20,237.88
M,PL,M40,237.22
M,PL,M40,236.88
M,PL,M30,236.12
M,PL,M40,237.78
M,PL,M40,237.33
M,PL,M30,237.58
M,PL,M20,238.83
M,PL,M30,237.95
M,PL,M30,238.53
M,PL,M40,238.25
M,PL,M40,237.22
M,PL,M30,237.47
F,PL,F30,239.32
M,PL,M30,236.55
M,PL,M40,237.77
M,PL,M50,238.23
M,PL,M40,236.3
F,PL,F30,238.1
M,PL,M60,240.1
M,PL,M40,237.07
M,PL,M30,239.67
F,PL,F30,235.38
M,PL,M30,239.17
F,PL,F30,238.2
M,PL,M30,239.17
M,PL,M30,237.75
M,PL,M50,236.47
M,PL,M20,239.7
M,PL,M40,238.18
M,PL,M20,236.73
M,PL,M50,238.2
M,PL,M30,236.75
M,PL,M50,236.28
F,PL,F40,237.35
M,PL,M50,236.72
M,PL,M50,237.05
F,GB,F40,236.88
M,PL,M30,238.27
M,PL,M30,239.67
M,IL,M50,237.68
M,GB,M40,236.88
M,PL,M30,235.5
M,PL,M30,240.95
M,PL,M20,235.87
M,PL,M30,238.33
F,PL,F30,237.95
M,PL,M40,236.8
M,PL,M40,238.33
M,PL,M30,238.03
M,PL,M30,238.13
M,PL,M40,238.28
M,PL,M40,238.28
M,PL,M50,239.05
M,FI,M40,235.62
M,PL,M40,238.07
M,PL,M30,239.87
M,PL,M30,238.05
M,PL,M20,236.43
M,PL,M20,237.08
M,PL,M30,238.05
M,PL,M30,239.93
M,PL,M20,238.98
M,PL,M50,238.37
M,PL,M20,238.23
M,PL,M40,237.63
M,PL,M40,237.73
M,PL,M30,237.7
F,PL,F40,236.4
M,PL,M20,237.43
M,PL,M20,236.95
M,PL,M20,237.48
M,PL,M20,243.33
M,PL,M30,236.93
M,PL,M30,237.95
M,PL,M40,236.97
M,PL,M30,237.32
M,PL,M30,238.1
M,PL,M30,240.68
M,PL,M50,242.37
M,PL,M20,239.83
M,PL,M30,237.17
M,PL,M20,241.15
M,PL,M40,238.35
M,PL,M30,238.92
M,PL,M20,238.15
M,PL,M30,237.35
M,PL,M40,238.72
M,PL,M40,236.83
M,ES,M30,236.52
M,PL,M30,239.3
F,PL,F30,238.0
M,PL,M30,238.17
M,JP,M30,236.43
M,PL,M40,238.42
M,PL,M30,236.57
M,PL,M40,239.93
M,PL,M30,238.42
M,PL,M50,239.27
M,PL,M40,236.28
M,PL,M30,239.48
M,PL,M40,239.05
M,PL,M20,242.7
M,PL,M30,238.18
M,PL,M20,238.48
M,FR,M40,236.97
M,PL,M40,236.08
M,PL,M30,238.23
M,PL,M40,238.12
M,PL,M40,238.08
M,PL,M30,238.35
M,PL,M40,238.93
M,PL,M20,236.5
M,PL,M30,237.98
M,PL,M30,240.73
M,PL,M30,237.98
F,PL,F30,238.73
M,PL,M40,238.28
F,PL,F40,238.77
F,PL,F40,238.25
M,PL,M30,239.45
M,PL,M50,237.72
M,PL,M40,242.12
M,PL,M20,240.33
M,PL,M40,238.38
M,PL,M40,237.57
M,PL,M40,241.77
M,PL,M30,238.98
M,PL,M20,237.4
F,PL,F40,238.45
M,PL,M30,238.5
F,LV,F20,238.83
M,PL,M20,239.67
M,PL,M40,238.88
M,GB,M50,238.17
M,PL,M40,238.97
M,PL,M20,240.43
M,PL,M30,238.43
M,PL,M40,239.22
M,PL,M40,238.63
M,PL,M50,238.9
M,PL,M40,242.0
M,PL,M30,238.73
M,US,M50,237.48
M,PL,M20,236.77
M,PL,M30,238.1
M,PL,M30,238.13
M,PL,M30,239.88
F,PL,F30,239.93
M,PL,M30,239.77
M,PL,M20,240.37
M,PL,M30,239.23
M,PL,M40,239.4
M,PL,M50,237.38
M,PL,M50,240.4
F,GB,F30,237.88
M,PL,M50,239.77
M,PL,M50,238.48
M,PL,M40,239.43
M,PL,M50,239.7
M,PL,M30,238.73
M,PL,M20,235.68
M,PL,M50,239.17
M,PL,M30,238.63
F,PL,F20,242.78
M,PL,M20,239.2
M,PL,M30,239.8
F,PL,F40,240.92
F,PL,F30,243.83
M,FR,M20,239.65
M,PL,M50,238.3
M,PL,M30,238.77
M,PL,M50,240.92
M,PL,M50,238.87
M,PL,M30,238.25
M,PL,M50,239.02
M,PL,M30,236.68
M,PL,M40,238.73
M,PL,M30,240.37
M,PL,M30,241.02
M,PL,M20,239.78
F,PL,F30,238.02
M,PL,M60,240.58
M,PL,M30,239.98
M,PL,M40,239.07
M,PL,M20,240.32
F,PL,F40,239.8
M,PL,M30,240.18
M,PL,M30,237.97
M,LT,M70,238.93
M,PL,M40,239.68
M,PL,M50,238.8
M,PL,M50,237.87
F,PL,F30,237.87
M,PL,M30,239.08
M,PL,M30,242.35
M,PL,M30,237.57
M,PL,M40,239.93
M,PL,M40,238.67
M,PL,M40,240.77
M,PL,M30,239.68
M,PL,M20,237.7
M,PL,M30,239.82
M,PL,M40,238.93
M,PL,M30,238.23
M,PL,M20,238.23
M,PL,M20,241.6
M,PL,M30,238.27
F,PL,F20,241.6
M,PL,M30,240.43
F,PL,F30,238.28
M,PL,M40,242.42
M,PL,M30,239.7
M,PL,M30,239.77
M,PL,M40,240.02
M,PL,M30,238.72
M,PL,M30,242.22
M,PL,M40,240.13
M,FR,M50,239.55
M,PL,M30,243.15
F,RU,F50,238.97
M,PL,M30,239.28
F,PL,F20,241.48
M,PL,M40,239.77
M,PL,M40,239.23
M,PL,M50,240.13
M,PL,M40,240.43
M,PL,M50,239.02
M,PL,M20,241.32
M,PL,M50,238.95
M,PL,M30,238.22
M,PL,M40,240.8
M,PL,M20,240.7
M,PL,M30,241.37
F,PL,F50,240.58
M,PL,M40,240.82
M,PL,M30,241.2
M,PL,M40,238.32
M,PL,M30,242.72
F,PL,F40,240.55
M,PL,M30,239.98
M,PL,M30,239.83
M,PL,M40,238.98
M,PL,M20,239.15
M,PL,M40,238.92
M,PL,M30,241.82
M,PL,M30,239.82
M,PL,M40,238.48
M,PL,M20,240.02
F,PL,F30,242.2
M,PL,M30,243.28
M,PL,M30,239.5
F,PL,F40,240.97
F,PL,F40,239.7
M,PL,M20,241.62
M,PL,M40,238.27
M,PL,M30,239.42
M,GB,M30,238.25
M,PL,M30,239.75
M,PL,M40,241.6
F,PL,F30,240.08
M,PL,M40,239.47
F,PL,F40,240.33
M,PL,M30,241.65
M,PL,M30,241.58
M,PL,M30,241.02
M,PL,M20,240.35
M,PL,M40,243.0
M,PL,M30,239.33
F,PL,F20,242.67
M,PL,M40,237.53
M,PL,M40,240.58
M,PL,M20,241.15
F,PL,F30,242.0
M,PL,M40,239.75
M,PL,M30,243.42
M,PL,M40,238.28
F,PL,F60,241.15
F,PL,F30,239.75
M,PL,M30,237.58
M,PL,M40,245.25
M,PL,M20,238.5
M,PL,M20,239.77
M,GB,M50,241.88
M,PL,M20,245.7
M,PL,M30,239.3
M,PL,M40,242.28
M,PL,M30,241.8
M,PL,M30,238.18
M,PL,M50,240.38
M,PL,M40,242.32
M,PL,M40,240.17
F,PL,F30,240.02
M,IT,M40,242.9
M,PL,M30,241.43
M,PL,M30,240.62
M,PL,M20,239.77
M,PL,M40,242.4
M,PL,M20,241.3
M,PL,M20,240.0
M,PL,M30,239.43
M,PL,M20,241.5
M,PL,M40,240.87
M,PL,M30,237.5
M,PL,M50,240.05
M,PL,M40,242.17
M,NL,M50,240.28
M,PL,M40,241.4
M,PL,M30,240.35
M,PL,M50,239.6
M,PL,M30,240.4
M,PL,M30,241.32
M,PL,M30,240.72
M,PL,M40,240.43
M,PL,M40,239.9
M,PL,M50,239.82
M,PL,M30,239.6
M,PL,M40,239.92
M,PL,M30,241.62
F,PL,F20,240.83
M,PL,M40,240.37
F,PL,F20,240.4
M,PL,M50,242.03
M,PL,M50,239.45
M,PL,M40,240.08
M,PL,M30,240.68
F,PL,F30,241.1
F,PL,F20,238.87
M,PL,M40,241.57
M,PL,M40,240.57
M,PL,M30,239.75
M,IT,M40,242.83
M,PL,M30,241.0
M,PL,M50,240.77
F,PL,F20,244.03
M,PL,M20,241.72
F,PL,F50,241.57
M,PL,M30,241.87
M,PL,M40,240.63
M,PL,M40,241.48
M,PL,M20,242.77
M,PL,M30,241.42
M,PL,M20,242.78
F,PL,F30,241.55
M,PL,M40,241.43
M,PL,M40,240.22
M,PL,M30,243.6
F,PL,F30,241.65
M,PL,M40,240.15
M,PL,M40,242.4
M,PL,M30,241.85
M,PL,M30,242.57
M,PL,M30,242.12
M,FR,M60,238.53
M,PL,M30,241.48
M,PL,M40,242.85
M,PL,M30,242.75
M,PL,M30,243.08
M,PL,M40,242.73
M,PL,M40,240.18
F,PL,F30,241.45
M,PL,M30,242.43
M,PL,M40,242.32
M,PL,M30,242.32
M,PL,M30,242.05
M,PL,M30,242.37
M,PL,M30,242.15
M,PL,M50,241.38
M,PL,M40,242.82
M,PL,M30,242.05
M,PL,M40,240.18
M,PL,M30,242.05
M,PL,M30,243.73
M,PL,M30,242.5
M,PL,M50,242.3
M,PL,M20,242.18
M,PL,M40,240.02
M,PL,M40,243.48
M,PL,M40,242.5
M,PL,M20,240.48
M,PL,M20,242.42
M,PL,M20,242.92
M,PL,M20,243.5
M,PL,M40,241.68
M,PL,M40,242.27
M,PL,M40,241.5
M,PL,M40,243.43
M,PL,M30,241.37
F,PL,F20,242.33
M,PL,M40,240.77
M,PL,M40,242.45
M,PL,M20,240.22
M,PL,M30,242.83
M,PL,M30,241.95
M,PL,M30,242.87
F,PL,F30,242.22
M,PL,M30,243.38
M,PL,M30,242.53
M,PL,M50,241.87
M,PL,M60,240.75
M,PL,M30,241.53
M,PL,M30,241.88
F,PL,F30,242.78
M,PL,M30,241.25
M,PL,M40,241.4
M,PL,M30,241.82
F,PL,F30,243.63
M,PL,M40,242.65
M,PL,M40,243.32
M,PL,M50,243.98
M,PL,M40,241.18
M,PL,M40,242.67
F,IL,F40,239.55
F,PL,F30,242.33
M,PL,M20,241.62
M,PL,M40,242.3
M,PL,M20,242.17
M,PL,M20,246.22
F,PL,F30,244.43
M,PL,M50,240.6
M,PL,M40,241.6
M,PL,M30,243.15
M,PL,M40,242.73
M,PL,M30,243.32
M,PL,M30,240.18
M,PL,M60,240.55
M,PL,M20,242.95
M,PL,M40,241.6
M,PL,M30,241.58
M,PL,M30,242.05
M,PL,M40,241.07
M,PL,M30,242.78
M,PL,M30,242.02
M,PL,M30,241.4
M,PL,M20,241.82
M,PL,M40,243.83
M,PL,M40,239.83
M,PL,M30,243.02
M,PL,M30,238.93
M,PL,M50,243.42
F,PL,F20,240.63
M,PL,M30,243.15
M,PL,M30,241.25
M,PL,M20,243.62
M,PL,M40,242.62
F,PL,F20,244.72
M,PL,M30,240.78
M,PL,M30,241.33
M,PL,M30,241.33
M,PL,M40,243.42
M,PL,M30,243.45
M,PL,M40,240.48
M,PL,M20,242.18
M,PL,M20,241.37
M,PL,M40,242.25
M,PL,M20,242.22
M,PL,M30,242.23
M,PL,M30,241.08
M,PL,M40,243.55
F,PL,F30,242.83
M,PL,M40,243.58
M,PL,M40,242.15
M,PL,M30,242.78
M,PL,M40,241.08
M,PL,M20,243.95
M,PL,M30,242.75
M,PL,M20,243.4
M,PL,M30,242.13
M,PL,M20,243.07
M,JP,M40,241.87
M,PL,M20,242.88
M,PL,M30,242.82
M,PL,M30,242.08
M,PL,M20,244.0
M,PL,M40,242.42
F,PL,F30,242.82
F,PL,F30,241.85
M,PL,M30,242.42
M,PL,M40,240.67
M,PL,M20,242.03
M,PL,M30,243.0
M,PL,M40,241.48
M,PL,M40,242.5
M,PL,M40,242.17
F,PL,F20,242.23
M,AT,M50,241.02
M,PL,M50,240.8
M,PL,M20,242.95
M,PL,M40,240.88
M,PL,M30,248.42
M,PL,M30,244.95
M,PL,M50,242.6
M,PL,M30,240.53
M,PL,M40,242.42
M,PL,M30,240.73
