,Human Wellbeing,,,,,,,,,Environmental Wellbeing,,,,,,,Economic Wellbeing,,,,,,Human Wellbeing,,,Environm. Wellbeing,,Economic Wellbeing,,,Human Wellbeing,Environmental Wellbeing,Economic Wellbeing
Argentina,9.9,,,,9.5,7.6,6.6,5.5,5.5,4.9,9.6,1,6.4,9.6,6.2,1.9,6.1,7.3,7.9,4,1.1,,9.9,8.5,5.8,3.6,5.2,6.7,3.3,,7.2,4.4,4.4
Armenia,9.9,10,9.4,8.8,9.2,7.1,6.6,7.2,5.3,8.1,6.5,3.7,7.7,7.1,8.2,2,1.1,5.8,5.8,1.5,,,9.8,8.3,6.3,5.8,5.5,2.5,3,,8,5.6,2.7
Aruba,,,,,9.4,,,6.8,7.6,4.1,,,2.3,6.4,,1.7,,,,,2,,,9.4,7.2,4.1,3,,2,,7.9,3.2,2
Australia,10,10,10,10,10,7.6,7,4.1,8.3,8.5,9.8,1,1,6.6,1,1.9,9.3,7.8,9.7,5.9,8,,10,9.1,6.2,4.4,1.9,8.5,7.7,,8.3,2.7,8
Austria,10,10,10,10,10,7.5,7.5,6,8.1,8.7,9.6,1,2.5,5.9,3.1,4,10,8.9,9.9,6.2,2.1,,10,9.1,7.2,4.4,3.7,9.4,5.1,,8.7,4,6.5
Azerbaijan,10,9.5,9.7,9.7,8.9,7.1,,5.4,4.3,6.1,6.5,3.1,7.2,5.6,6.9,1.2,2.6,8.1,6.2,6.1,9.5,,9.7,8.5,4.8,5,4.3,4.6,7.1,,7.8,4.6,6
"Bahamas, The",,9.9,9.5,7.8,9.1,7.7,,5.7,6.6,8.1,,1,3.6,1,,1.1,1.8,9,9.2,3.7,4.5,,9.7,8.1,6.1,2.8,1.6,4,5.3,,7.9,2,4.7
Bahrain,,10,10,9.9,9.6,6.6,,1,5.1,2.7,1,1,1,10,1,1,,9.2,9.6,8.9,,,10,8.6,2.3,1.4,1.8,9.2,9.2,,6.1,1.6,9.2
Bangladesh,9.2,9.8,5.6,9.1,8.8,7.5,,5.4,4,5.2,9.7,7,9.6,1,9.5,3.8,1,9.3,2.7,6.4,8.6,,8,8.5,4.7,7.1,4.3,3.1,5.3,,7.1,5.3,4.3
Barbados,9.8,9.9,9.8,10,9.9,7.8,,7.6,6.9,2.1,1.3,1,6.2,1.6,,1.5,,,6.6,4.4,1,,9.8,9.2,7.3,1.4,2.5,,3.1,,8.9,1.8,3.1
Belarus,10,9.7,9.8,10,9.1,7.7,7.8,8,4.6,6.5,9.8,1,5.2,10,4,1.6,1,8.8,7.3,6.2,7.2,,9.8,8.9,6.6,4,4.3,3,6.9,,8.3,4.2,5
Belgium,10,10,10,10,10,7.6,7.7,6.9,7.6,8.9,7.8,1,1,2.5,2,2,8.3,8.7,9.8,5.5,1,,10,9.1,7.4,4.1,1.8,8.5,3.8,,8.8,2.5,5.2
Belize,9.7,9.9,8.9,9.8,9.2,7,,2.6,5,8.9,10,1,8.5,4.9,,4.6,1.3,2.5,3.9,5.1,1,,9.5,8.6,3.6,4.5,5.8,1.8,2.7,,7.2,5.1,2.3
Benin,9.6,6.9,2.4,,7.2,6.9,,1,4.9,7,10,4.6,9.6,1,9.4,5,1.9,7.8,2,8.6,8.1,,5.4,7.1,2.2,6.9,4.6,3.8,5.2,,4.5,5.5,4.6
Bermuda,,10,10,,10,,,8.7,,2,,,2.2,1,,1,,,10,,,,10,10,8.7,2,1.3,,10,,9.7,1.5,10
Bhutan,,9.8,7.7,9.6,8.7,6.7,,5.1,6.5,8.9,10,1,6.4,6.5,,8.3,3.5,9.1,5.4,7.8,1,,8.6,8.3,5.7,4.5,7,5.6,3.5,,7.5,5.6,4.2
Bolivia,9.1,9.3,6.6,9.5,8.7,7.7,6.3,4.3,4.5,8.5,10,1,8.7,3.5,8.1,1.7,1.7,7.4,4.5,7,,,8.2,8.6,5,4.4,4.5,3.5,5.6,,7.1,4.5,4.4
Bosnia and Herzegovina,10,9.7,9.6,,9.6,7.4,,10,4.8,4,9.9,1,6.6,1.8,3.3,4.2,1.1,,6.3,1.6,8.7,,9.7,8.4,6.9,3.4,3.6,1.1,4.4,,8.5,3.5,3.1
Botswana,7.5,9.2,8.1,,8.4,7.4,,3.4,6.5,9.2,9.8,2.1,8.4,1,6.8,3.5,,9.2,6.7,1.1,9.5,,8.2,7.9,4.7,5.8,3.8,9.2,4.1,,6.9,4.5,5
Brazil,10,9.9,9,,9.4,7.1,5.6,6.1,5,6.4,9.9,1.4,7.3,8.2,8,5.2,2.1,8.1,6.3,2.9,1.1,,9.6,8.2,5.6,4.4,7.1,4.1,2.7,,7.5,5.8,3.2
British Virgin Islands,,10,,9.2,,,,6.5,,4.3,,,5.4,1,,1.1,,,,,,,10,9.2,6.5,4.3,1.8,,,,8.4,2.3,
Brunei Darussalam,10,10,,9.8,9.4,7.2,,5.1,6.6,6.3,9.9,1,1,1,1,1,,9.5,9.9,4.2,,,10,8.7,5.8,4,1,9.5,6.4,,8.1,1.8,7.3
Bulgaria,10,9.9,8.7,9.4,9.2,7.8,6.6,9.4,5.9,8,7.5,1,5.1,3.7,4.4,2.8,5.3,8.6,7.9,5.9,,,9.5,8.8,7.1,3.9,3.9,6.7,6.8,,8.4,3.9,6.8
Burkina Faso,9.1,5.4,2.9,7.2,7.2,6.7,,1,4.7,8,9.4,5.8,9.8,1,,7,2,7.5,1.4,6.3,8.4,,5.2,7,2.2,7.6,4.1,3.9,4.2,,4.7,5.6,4.1
Burundi,,6.5,5.1,9.1,7.2,7.7,,1,2.9,5.7,9.8,7.2,10,1,,8.7,1,1,1,8.5,6.2,,5.8,7.9,1.7,7.4,4.4,1,3.8,,4.7,5.7,2.2
Cabo Verde,8.7,8.9,7.8,9.7,8.9,7.3,,5,6.4,2.3,9.2,3.9,8.8,3,,3.1,2.3,9.3,3.8,3,1,,8.5,8.6,5.7,4.3,4.3,4.6,2.2,,7.7,4.3,3
Cambodia,9.6,7.3,6.6,,8.4,7.1,,4.1,4.1,6.4,10,5,9.4,1,9.3,6.6,2,9,2.5,9.9,9,,7.8,7.8,4.1,6.8,4.9,4.3,6.1,,6.5,5.6,5.3
Cameroon,9.7,6.9,4.9,,6.8,7.4,,1,3.6,5.3,10,6,9.7,6.5,9.7,8.3,1,6.8,2.3,7,8.2,,6.9,7.1,1.9,6.8,8.5,2.6,5.1,,4.8,7.7,3.9
Canada,10,9.9,9.9,10,10,7.9,7.3,5.4,8.3,6.3,9.9,1,1,6.4,1,3,4.9,7.8,9.7,5.6,1,,9.9,9.3,6.9,4,2.1,6.2,3.8,,8.6,2.8,4.6
Cayman Islands,,,,8.4,,,,4.6,7,4.8,,,3.3,2.2,,1,,,10,,,,,8.4,5.7,4.8,2,,10,,6.5,2.5,10
Central African Republic,5.9,4.5,2.3,,5.9,,,5.7,2.7,8.6,10,6,9.9,1,,8.3,,,1,5.7,6.8,,4,5.9,3.9,8,4.4,,3.4,,4.2,5.9,3.4
Chad,7.4,5.1,2,6,6.1,6.2,,1,3,7.2,9.8,4.5,9.9,1,,8.7,,,1.1,8.9,6.9,,4.3,6.1,1.7,6.8,4.4,,4.1,,3.9,5.5,4.1
Chile,10,10,10,10,10,7.5,,4.9,7.3,6.8,9.1,1,6.3,1.6,5.4,3.3,1.2,7,8.2,4.9,9.2,,10,9.1,6,4,3.7,2.9,7.2,,8.5,3.8,5
China,10,9.4,9,9.3,9.5,7.1,6.2,6.7,4.9,2.6,7.9,1,5.2,3.3,3,2.2,2.2,9.4,6.4,6.5,6,,9.5,8.6,5.9,2.7,3.3,4.6,6.3,,7.8,3,5.6
Colombia,9.5,9.7,9.3,10,9.6,7.6,5.8,4.8,5.2,7.9,9.9,3.8,8.4,6.3,8.5,3.8,1.1,6.9,6.3,4,6.1,,9.5,9,5.2,6.7,6.4,2.8,5.4,,7.6,6.5,4.1
Comoros,,8.2,4.2,8.2,7.6,,,1.8,3.9,4.3,9.9,6,9.8,1,,6,4,6.4,1.9,4.5,,,5.9,7.9,2.6,6.3,3.9,5.1,2.9,,5,5,3.9
"Congo, Dem. Rep.",6.5,5,2.5,,7.1,6.2,,1,2.5,7.6,10,7.4,9.9,10,10,9.7,1.4,7.2,1,6.4,9.6,,4.3,6.6,1.6,8.2,9.9,3.2,3.9,,3.7,9.2,3.6
"Congo, Rep.",6.8,7.6,2.8,,7.6,,,1.1,3.5,7.5,10,6.6,9.2,10,9.4,7.3,,,2.4,1.3,1.8,,5.3,7.6,1.9,7.9,8.9,,1.8,,4,8.5,1.8
Cook Islands,,,,,,,,,,4.3,,,,,,,4,,,,,,,,,4.3,,4,,,,4.3,4
Costa Rica,10,10,9.8,10,10,7.7,5.8,5.5,6.5,7.3,9.7,1.8,8,1.1,8.5,4.2,2.1,9,7.6,3.8,6.4,,9.9,9.2,5.9,5.1,4.2,4.3,5.7,,8.1,4.6,5.1
Cote d'Ivoire,8.9,7.4,4,7.8,6.6,6.6,,1,4.6,6.6,9.9,5.3,9.6,4.7,9.6,6.7,1.5,8.7,2.9,7.2,8.5,,6.4,7,2.2,7,7.4,3.6,5.7,,5.1,7.2,4.7
Croatia,10,,9.7,9.8,9.7,7.4,7.4,9.6,6.3,8.4,9.9,1,5.9,1,6.3,4,8.4,8.8,8.6,4.3,2.1,,9.8,8.9,7.6,4.4,3.5,8.6,4.3,,8.6,3.8,5.6
Cuba,10,9.7,9.2,10,9.8,7.7,,7.8,4.7,5.6,8.2,4.1,8.5,10,7.7,2.9,1.2,,,8.4,,,9.6,9.1,6,5.7,6.6,1.2,8.4,,8.4,6.2,3.2
Cyprus,10,10,9.9,10,10,7.2,7.3,6.2,6.9,6.1,7.3,1,5.5,1,2.7,2.1,7.1,8.2,9.4,4.3,1,,10,8.9,6.8,3.5,2.4,7.6,3.4,,8.5,2.8,4.7
Czech Republic,10,10,9.9,10,9.9,7.2,7.8,7.5,7.2,8.7,8.8,1,2.5,4.8,1,2.3,9.8,8.4,9.4,8,8.8,,10,8.9,7.5,4.2,2.3,9.1,8.7,,8.7,3,8.9
Denmark,10,10,10,10,10,8,7.6,6.6,8.5,8.3,8.2,1,4.3,6.9,4.5,4.2,9.2,9.2,9.9,6,8.7,,10,9.3,7.5,4.1,4.9,9.2,8,,8.9,4.5,8.5
Djibouti,8.8,7.8,6.9,6.3,8,,,3.8,4.1,3.1,9.4,1.9,9.6,10,,3.5,,9.2,3,1,7.3,,7.8,7.1,4,3.8,6.9,9.2,2.8,,6.3,5.1,3.8
Dominica,9.7,,,,,,,7.6,6.4,6.1,9,1.8,8.2,3.8,,1.7,2.9,,5.5,,1,,9.7,,7,4.6,3.8,2.9,2.3,,7.8,4.2,2.5
Dominican Republic,9.6,9.7,8.8,9.4,9.1,7.3,6.3,5.3,5.1,8.3,7,4.1,8.4,1,7.8,2.4,8.4,9.2,7,5.6,6.7,,9.3,8.5,5.5,6.2,3.6,8.8,6.4,,7.6,4.5,7.3
Ecuador,9.2,9.5,9.1,10,9.5,7.6,6.3,3.7,4.8,8,9.8,4.3,8.1,7.4,7.9,2.5,2.6,7.9,5.5,7,6.9,,9.3,9,4.8,7,5.8,4.5,6.4,,7.4,6.3,5.6
"Egypt, Arab Rep.",9.8,9.9,9.7,9.8,8.8,6.5,,2.3,4,5.6,1,3.9,8.1,5.7,7.7,1.4,5.8,6.6,5.4,3.7,1,,9.8,8.2,3,2.8,4.8,6.2,2.7,,6.9,3.8,3.8
El Salvador,9.4,9.8,8.5,8.5,9,7.2,6.7,6.9,4.8,4.2,9.2,3.2,9,1.3,9,3.1,1.2,7,4.5,6.7,2.6,,9.2,8.2,6.1,5,4.2,3,4.3,,7.7,4.6,3.7
Equatorial Guinea,,,,,6.8,,,1,3.1,6.9,10,3.3,7.1,10,5.5,1.4,,,7.5,4.2,,,,6.8,1.7,6.1,4.9,,5.6,,2.7,5.4,5.6
Eritrea,,,,6.2,7.9,,,,2.6,4,9.2,7.3,,,9.8,7.6,,,,5.5,1,,,7,2.6,6.5,8.6,,2.3,,5,7.3,2.3
Estonia,10,10,9.9,10,9.7,7.6,7.2,7.9,7.7,8.8,8.7,1,6.7,1.3,1,3.6,10,9,9.2,5.8,9.7,,10,9,7.6,4.3,2.4,9.5,8,,8.8,3,8.6
Eswatini,9.1,7.3,6.7,,6.9,7.2,,5.9,4.4,4.5,7.6,1.8,9,1,,6.9,1,7.8,4.4,1,8.7,,7.6,7.1,5.1,3.9,4,2.9,3.4,,6.7,4,3.2
Ethiopia,8.9,5.2,1.8,,7.9,6.9,,1,4,7.5,9.1,6.6,9.9,1,9.9,9.1,2.1,9.2,1.4,7.9,4.4,,4.3,7.4,2,7.7,5.5,4.4,3.7,,4,6.3,3.9
Faroe Islands,,10,,,10,,,7.5,,2.6,,,1,1,,1.5,8.9,,,,,,10,10,7.5,2.6,1.2,8.9,,,9.1,1.4,8.9
Fiji,9.7,9.5,9.9,,8.1,7,,7.1,5.9,3.3,10,1.1,8.5,1,,3.5,9.2,8.4,6.1,6.5,7.4,,9.7,7.5,6.5,3.3,3.1,8.8,6.6,,8,3.2,7.4
Finland,10,10,10,10,10,8.4,7.7,7.4,8.7,7.8,9.7,1,1,5.1,2,5,9.7,8.5,9.7,4.8,4.7,,10,9.4,7.9,4.2,2.7,9.1,6,,9.1,3.3,7.1
France,10,10,9.9,10,10,8,7.3,7.3,7.5,8.9,8.7,1,3,6.5,5.5,2.4,8.4,8.4,9.6,4.1,1,,10,9.3,7.3,4.3,4,8.4,3.4,,8.8,4.1,4.9
French Polynesia,9.9,10,9.7,,9.6,,,6.8,,2.3,,1,7.4,5.3,,1.7,6.1,,,2.9,,,9.9,9.6,6.8,1.5,4,6.1,2.9,,9.1,2.7,4.2
Gabon,8.7,8.6,5.5,,7.9,,,1,4.1,8.7,10,3.5,8.7,10,8.8,9.1,,,6.4,1.3,,,7.4,7.9,2,6.7,9.1,,2.8,,4.9,8,2.8
"Gambia, The",9.1,8.2,5.2,,7.3,6.8,,1,4.8,3.9,9.9,6.5,9.8,8.3,,5.7,1,2.7,1.4,3.9,1.2,,7.3,7,2.2,6.3,7.8,1.6,1.9,,5.1,7,1.8
Georgia,9.5,9.7,8.7,10,9,7.1,6.5,7.9,6.3,5.2,9.8,2.3,7,1,7.6,3.5,1.1,7.8,6.2,2.8,,,9.3,8.6,6.9,4.9,3.7,3,4.2,,8.2,4.2,3.5
Germany,10,10,9.9,9.9,10,8,7.3,6.7,8.2,9,8.4,1,2.4,5.4,1.6,2.4,9.1,8.9,9.8,7.1,4.3,,10,9.3,7.4,4.2,2.7,9,6.7,,8.8,3.3,7.5
Ghana,9.6,8.5,3,9,7.6,7.2,,2,5.6,6.3,9.7,3.3,9.5,1,9.4,4.8,1.4,7.9,3.1,6.5,4.2,,6.2,7.9,3.3,5.9,4.6,3.4,4.4,,5.8,5.1,3.9
Gibraltar,,10,10,,,,,8,,,,,1,1,1,1,,,,,,,10,,8,,1,,,,9.3,1,
Greece,10,10,9.9,10,10,7.3,7.1,8.9,6,7.5,8.5,1,5.1,3.3,4.3,2.6,8.8,2.5,8.6,1.5,1,,10,9,7.3,4,3.7,4.7,2.3,,8.7,3.8,3.1
Greenland,,10,10,,,,6.8,8.3,8,7.9,,,1,2.3,,2,,,,,,,10,,7.7,7.9,1.7,,,,8.5,2.5,
Grenada,,,,10,8.9,,,6.6,6,3.8,9.3,1.5,8.2,1,,1.9,,,6.8,,,,,9.4,6.3,3.8,2.5,,6.8,,7.7,3.1,6.8
Guam,,10,,,10,,,6.5,6.9,,,,3,10,,1.3,,,,5.7,,,10,10,6.7,,3.4,,5.7,,8.2,3.4,5.7
Guatemala,8.8,9.4,7.1,8,9.1,7,,3.8,4.4,4.7,9.7,3.9,9.1,1,9,6.8,1.8,6.5,4.4,8,9.1,,8.3,8,4.1,5.7,4.8,3.4,6.8,,6.9,5.2,5.2
Guinea,,6.7,3.5,,7.2,6.9,,1,3.8,6.4,10,3.9,9.8,1,,7.3,1,1.1,1.6,6.1,8.2,,4.8,7,2,6.3,4.2,1,4.3,,4,5.1,2.5
Guinea-Bissau,,6.3,2.5,,6.7,,,1,3.5,7.5,9.9,5.1,9.9,10,,8.8,1.2,6.2,1.3,5.5,4.8,,4,6.7,1.9,7.2,9.6,2.8,3.2,,3.3,8.3,3
Guyana,9.7,9.6,8.7,,8.5,,,6.8,5.1,5.6,9.9,1,8.1,1,6.9,2.5,,,5.7,2.5,7.2,,9.3,8.5,5.9,3.8,3.4,,4.7,,7.9,3.6,4.7
Haiti,5.8,6.9,4.2,,7.5,,,4.7,3.4,4.1,9,7.9,9.8,1,9.7,7.9,1.5,7.4,2,2.5,9.4,,5.5,7.5,4,6.6,5.2,3.4,3.6,,5.2,5.8,3.5
Honduras,9,9.5,8.4,,9.3,7.4,5.8,3.6,4.4,6.4,9.8,4.8,9.1,1,9,5.5,2.8,9.2,3.2,5.7,8.2,,9,8.3,4.5,6.7,4.6,5,5.3,,6.8,5.4,5.2
"Hong Kong SAR, China",10,10,9.7,10,10,,,6.3,8.1,7.8,,,1.8,1,4.2,1,,,9.9,7.5,10,,9.9,10,7.1,7.8,1.7,,9.1,,9,2.3,9.1
Hungary,10,10,9.8,10,9.4,7.1,7.5,8.5,6.4,8.4,9.6,1,5.1,1,5.3,2.2,6.6,8.9,8.8,6.9,2.8,,9.9,8.7,7.4,4.3,2.8,7.7,5.6,,8.6,3.4,6.3
Iceland,10,10,9.9,10,10,8.7,,3.6,8.3,6.7,10,,1,3.3,5.2,8,4,8.7,9.9,7.6,3.9,,10,9.6,5.5,8.2,3.4,5.9,6.7,,8.4,4.6,6.3
India,8.9,9.1,6.9,,8.4,7,,5.4,5.3,4,6.6,6,9,1,8.3,3.9,3.1,9.1,3.6,5.9,2.6,,8.2,7.7,5.3,5.4,4.1,5.3,3.8,,7.1,4.6,4.4
Indonesia,9.6,9.2,8.3,9.8,8.7,7.2,5.7,5,5.2,6,8.9,4.3,8.7,1,8,2.9,1.4,9,5.4,6.4,8.9,,9,8.5,5.3,6.1,3.8,3.6,6.8,,7.4,4.6,5.3
"Iran, Islamic Rep.",9.7,9.8,9.1,,9.5,6.3,6.5,4.7,3.7,4.5,3.2,1,3.4,1.9,2.8,1.1,1.1,,6,3,8.3,,9.5,7.7,4.8,2.4,2.1,1.1,5.3,,7,2.2,3.5
Iraq,6.8,9.7,9.9,,8.6,6,,1,2.8,4.6,6.3,4.1,6.9,1,6.7,1,1,3.2,5.1,2.7,,,8.7,7.1,1.7,4.9,2.6,1.8,3.8,,5.1,3.4,2.6
Ireland,10,9.8,9.2,10,10,8.2,7.3,5.5,8,6.9,9.7,1,3.8,1,2.6,2,5.3,9,10,5.6,3.9,,9.7,9.3,6.9,4.1,2.1,6.9,6,,8.5,2.8,6.4
Israel,10,10,10,10,10,7.5,6.9,2.9,6.7,5.2,3.8,1,4.9,8.1,3.3,1.3,3.1,9,9.4,6.7,4.5,,10,9.1,5.1,2.7,3.7,5.3,6.6,,7.8,3.2,6
Italy,10,10,10,10,10,7.4,7,7.9,6.4,7.8,8.2,1,4.9,4.4,4.8,2.5,9.8,7.9,9.5,3.5,1,,10,9,7.1,4,4,8.8,3.2,,8.6,4,4.8
Jamaica,9.5,9.2,8.8,8.8,9.2,7.5,,6.8,5.9,6.2,8.8,4.6,8.2,6.7,7.2,1.8,1.2,9.1,4.9,4,1,,9.2,8.5,6.3,6.3,5.1,3.3,2.7,,8.1,5.6,2.9
Japan,10,9.9,10,,10,7,7.1,8.3,7.9,7.9,8.2,1,3.1,7.2,1.4,1.7,1.5,8,9.5,7.9,1,,10,8.3,7.7,4,2.7,3.5,4.2,,8.7,3.2,3.9
Jordan,9.5,9.9,9.8,7.5,9.2,6.4,,1,5.3,3.6,1,4.1,8.2,3.6,7.7,1.6,1.3,7.7,5,1.6,,,9.7,7.6,2.3,2.5,4.4,3.2,2.8,,6.2,3.4,3
Kazakhstan,10,9.6,9.8,10,9,7.4,7.6,4.5,4.9,4.7,7.8,1,1.6,6.6,1,1.2,1.2,7,8.3,6.2,9.4,,9.8,8.7,5.5,3.3,1.9,2.9,7.8,,7.8,2.4,5.3
Kenya,8,6.4,3.9,,8,7.3,,1.4,4.5,5.8,8.7,6.7,9.7,1,9.7,7.5,1.4,2.8,2.6,6.5,5.2,,5.9,7.6,2.5,7,5.2,2,4.5,,4.9,5.9,3.2
Kiribati,9.9,7.9,5,,8.2,,,4.5,6.1,8.4,,,9.6,1,,4.7,7.2,,1.5,,9.4,,7.3,8.2,5.2,8.4,3.6,7.2,3.8,,6.7,4.4,4.7
"Korea, Dem. People’s Rep.",6.3,9.5,8.6,,8.8,,,6.9,2.6,3.1,8.9,6.1,9.4,10,8.1,4,,,,7.7,,,8,8.8,4.2,5.5,7.5,,7.7,,6.6,6.6,7.7
"Korea, Rep.",10,10,10,9.9,10,6.9,7,7,7.2,6.6,5.8,1,1,3,1,1.3,3.8,9.2,9.5,6.8,8.2,,10,8.8,7,3.4,1.4,5.9,8.1,,8.5,2,7.1
Kosovo,,,,,8.8,,,8.5,4.8,6.6,,,7.7,1.1,5.4,3.4,1.1,,5.2,,9.5,,,8.8,6.4,6.6,3.5,1.1,7,,7.1,4,3.8
Kuwait,10,10,10,,9.3,6.7,,1,5.3,6.9,1,1,1,8.6,1,1,1,9.2,9.8,8.1,9.6,,10,7.9,2.3,1.9,1.7,3.1,9.1,,6.1,1.8,5.9
Kyrgyz Republic,9.6,9.1,9.8,10,8.7,7.2,7.1,2.7,4.4,4.5,6.7,4.9,8.2,9.1,8.3,3.1,1.8,8.7,3,5,5.8,,9.5,8.6,4.4,5.3,6.6,3.9,4.4,,7.1,6,4.2
Lao PDR,9.7,8.5,7.9,8.4,8.1,7.7,6.7,4.2,4.1,7.3,9.8,3.9,7.2,1,7.5,4.8,1.7,,4.1,9.2,4.7,,8.7,8.1,4.9,6.5,4,1.7,5.6,,7,4.9,4.2
Latvia,10,9.9,9.3,10,9.2,7.8,6.9,9.7,6.9,8.8,9.9,1,6.2,2.5,6.2,4.7,9.8,7.5,8.8,4.8,8.4,,9.7,9,7.7,4.4,4.6,8.6,7.1,,8.8,4.5,7.6
Lebanon,9.6,9.3,9.8,,9.8,6.4,,1,4,3,6,1,7.6,3.5,6.3,1.4,1.4,1,6.6,3.4,1,,9.6,7.9,2,2.6,3.9,1.2,2.8,,5.8,3.3,2
Lesotho,8.3,7.4,5.2,,6.1,7.2,,6.2,4.9,3,9.9,4.9,9.6,2.4,,4.5,1,8.3,1.7,1,6.8,,6.8,6.6,5.5,5.3,4.7,2.9,2.3,,6.4,5,2.5
Liberia,6.8,7.7,2.6,,7.6,7.1,,1.1,4.2,3.9,10,5.9,9.8,4.4,,8.8,1,1,1.1,7.4,,,5.1,7.3,2.1,6.1,7.2,1,2.8,,4.4,6.7,1.7
Libya,,10,9.3,,8.9,,,5.3,2.1,3.1,1,1,5.7,10,3,1.2,,,6.4,1.4,,,9.6,8.9,3.3,1.5,3.8,,3,,6.2,2.5,3
Liechtenstein,,10,10,10,10,,,6.8,8.4,7.8,,,,,,6.1,10,,,,,,10,10,7.6,7.8,6.1,10,,,9.1,6.9,10
Lithuania,10,9.8,9.5,10,9.4,7.7,6.8,10,7.1,8.9,9.9,1,5.5,1,6,4,8.8,8.6,9.2,5.4,8.7,,9.8,9,7.8,4.4,3.4,8.7,7.6,,8.8,3.8,8
Luxembourg,10,10,9.8,10,10,7.4,7.3,2,8.6,8.7,9.9,1,1,6.6,1,2.4,7,8.8,10,5.7,9.4,,9.9,9,5,4.4,2,7.8,8.1,,7.7,2.8,8
"Macao SAR, China",9.8,10,10,10,10,,,3.4,7.2,1.6,,,6.3,1,,2.3,,,10,8.3,10,,9.9,10,4.9,1.6,2.4,,9.4,,8.2,2.2,9.4
Madagascar,6.3,5.6,2,8.5,8,7.2,,1,4.1,3.2,9.6,6.8,9.9,9,,8.3,1.3,8.2,1.1,8.3,8.1,,4.2,7.9,2,6,9.1,3.2,4.2,,4.4,7.4,3.8
Malawi,8.7,7.2,3.3,9.7,7.6,7,,1,4.6,8.6,9.2,7.1,9.9,10,,7.6,1.5,5.3,1,5.6,7.7,,5.9,8,2.1,8.2,9.1,2.8,3.6,,5.1,8.7,3.2
Malaysia,9.9,9.7,10,,9.4,7.1,6.4,4.7,6.4,6,9.9,1,4.5,3.2,2.8,1.5,1.2,5.5,8.5,7.2,5.6,,9.9,8.2,5.8,3.9,2.8,2.6,7,,7.7,3.2,4.7
Maldives,,10,9.7,9.3,9.8,7,,1,4.6,1.6,8.4,,7.5,10,,1.1,,8.8,7.2,5.7,2.4,,9.9,8.6,2.1,3.7,4.4,8.8,4.6,,6,4.1,5.4
Mali,9.5,8.1,4.8,6.4,6.8,6.2,,1,3.9,6.4,9.6,4.6,9.8,1,,7.9,1.1,7.2,1.5,4.8,8.5,,7.2,6.5,2,6.5,4.3,2.8,3.9,,5,5.3,3.4
Malta,10,10,10,10,10,7.2,7.5,1,7.4,7.6,1.5,1,1,1,6.8,1.7,1.9,,9.5,6.9,7.8,,10,9,3.8,2.2,1.8,1.9,8,,7,2,5.6
Marshall Islands,,9,8.5,,,,,6.8,5.2,2,,,,,,2.1,,,2.3,,9.2,,8.8,,5.9,2,2.1,,4.7,,7.2,2,4.7
Mauritania,9.4,7.4,5.4,7.2,7.7,6.5,,1,4.1,2.7,8.8,1.6,9.4,1,,3.3,,9.1,3,3.5,4.9,,7.2,7.1,2,3.4,3.1,9.1,3.7,,5.2,3.3,4.7
