# Data source: http://archive.ics.uci.edu/ml/datasets/Wine+Quality
# See also: P. Cortez, A. Cerdeira, F. Almeida, T. Matos and J. Reis.
# Modeling wine preferences by data mining from physicochemical properties,
# Decision Support Systems 47(4), s. 547-553, 2009.
#
# This is a very-non-random sample of the original dataset.
"fixed.acidity","volatile.acidity","citric.acid","residual.sugar","chlorides","free.sulfur.dioxide","total.sulfur.dioxide","density","pH","sulphates","alcohol","response","color"
7.2,0.645,0,1.9,0.097,15,39,0.99675,3.37,0.58,9.2,4,"red"
7,0.54,0.09,2,0.081,10,16,0.99479,3.43,0.59,11.5,4,"red"
6.8,0.36,0.32,1.8,0.067,4,8,0.9928,3.36,0.55,12.8,5,"red"
8.2,0.34,0.37,1.9,0.057,43,74,0.99408,3.23,0.81,12,4,"red"
9.5,0.55,0.66,2.3,0.387,12,37,0.9982,3.17,0.67,9.6,3,"red"
6.2,0.44,0.39,2.5,0.077,6,14,0.99555,3.51,0.69,11,4,"red"
8.3,0.845,0.01,2.2,0.07,5,14,0.9967,3.32,0.58,11,2,"red"
8,0.715,0.22,2.3,0.075,13,81,0.99688,3.24,0.54,9.5,4,"red"
7.6,0.74,0,1.9,0.1,6,12,0.99521,3.36,0.59,11,3,"red"
6.9,0.84,0.21,4.1,0.074,16,65,0.99842,3.53,0.72,9.25,4,"red"
8.4,0.37,0.43,2.3,0.063,12,19,0.9955,3.17,0.81,11.2,5,"red"
10.7,0.9,0.34,6.6,0.112,23,99,1.00289,3.22,0.68,9.3,3,"red"
10.4,0.24,0.49,1.8,0.075,6,20,0.9977,3.18,1.06,11,4,"red"
7.6,0.42,0.25,3.9,0.104,28,90,0.99784,3.15,0.57,9.1,3,"red"
7.7,0.26,0.26,2,0.052,19,77,0.9951,3.15,0.79,10.9,4,"red"
11.9,0.695,0.53,3.4,0.128,7,21,0.9992,3.17,0.84,12.2,5,"red"
10.2,0.36,0.64,2.9,0.122,10,41,0.998,3.23,0.66,12.5,4,"red"
6.1,0.715,0.1,2.6,0.053,13,27,0.99362,3.57,0.5,11.9,3,"red"
13.7,0.415,0.68,2.9,0.085,17,43,1.0014,3.06,0.8,10,4,"red"
8,0.58,0.16,2,0.12,3,7,0.99454,3.22,0.58,11.2,4,"red"
8.9,0.75,0.14,2.5,0.086,9,30,0.99824,3.34,0.64,10.5,3,"red"
6.6,0.695,0,2.1,0.075,12,56,0.9968,3.49,0.67,9.2,3,"red"
9.6,0.41,0.37,2.3,0.091,10,23,0.99786,3.24,0.56,10.5,3,"red"
6.8,0.67,0.02,1.8,0.05,5,11,0.9962,3.48,0.52,9.5,3,"red"
5.8,1.01,0.66,2,0.039,15,88,0.99357,3.66,0.6,11.5,4,"red"
11.5,0.35,0.49,3.3,0.07,10,37,1.0003,3.32,0.91,11,4,"red"
9.3,0.4,0.49,2.5,0.085,38,142,0.9978,3.22,0.55,9.4,3,"red"
8.5,0.66,0.2,2.1,0.097,23,113,0.99733,3.13,0.48,9.2,3,"red"
8,0.43,0.36,2.3,0.075,10,48,0.9976,3.34,0.46,9.4,3,"red"
6.6,0.5,0.04,2.1,0.068,6,14,0.9955,3.39,0.64,9.4,4,"red"
6.7,0.75,0.01,2.4,0.078,17,32,0.9955,3.55,0.61,12.8,4,"red"
7.3,1.07,0.09,1.7,0.178,10,89,0.9962,3.3,0.57,9,3,"red"
6.1,0.58,0.23,2.5,0.044,16,70,0.99352,3.46,0.65,12.5,4,"red"
6,0.33,0.32,12.9,0.054,6,113,0.99572,3.3,0.56,11.5,2,"red"
7.7,0.58,0.01,1.8,0.088,12,18,0.99568,3.32,0.56,10.5,5,"red"
7,0.55,0.13,2.2,0.075,15,35,0.9959,3.36,0.59,9.7,4,"red"
10.6,0.5,0.45,2.6,0.119,34,68,0.99708,3.23,0.72,10.9,4,"red"
7.6,0.46,0.11,2.6,0.079,12,49,0.9968,3.21,0.57,10,3,"red"
7,0.69,0.07,2.5,0.091,15,21,0.99572,3.38,0.6,11.3,4,"red"
6.2,0.56,0.09,1.7,0.053,24,32,0.99402,3.54,0.6,11.3,3,"red"
10.2,0.44,0.58,4.1,0.092,11,24,0.99745,3.29,0.99,12,5,"red"
9,0.53,0.49,1.9,0.171,6,25,0.9975,3.27,0.61,9.4,4,"red"
9.1,0.64,0.23,3.1,0.095,13,38,0.9998,3.28,0.59,9.7,3,"red"
7.2,0.835,0,2,0.166,4,11,0.99608,3.39,0.52,10,3,"red"
6.7,0.67,0.02,1.9,0.061,26,42,0.99489,3.39,0.82,10.9,4,"red"
8.8,0.27,0.46,2.1,0.095,20,29,0.99488,3.26,0.56,11.3,4,"red"
9.3,0.775,0.27,2.8,0.078,24,56,0.9984,3.31,0.67,10.6,4,"red"
8.3,0.615,0.22,2.6,0.087,6,19,0.9982,3.26,0.61,9.3,3,"red"
10.4,0.34,0.58,3.7,0.174,6,16,0.997,3.19,0.7,11.3,4,"red"
9.1,0.3,0.41,2,0.068,10,24,0.99523,3.27,0.85,11.7,5,"red"
8.6,0.685,0.1,1.6,0.092,3,12,0.99745,3.31,0.65,9.55,4,"red"
9.9,0.32,0.56,2,0.073,3,8,0.99534,3.15,0.73,11.4,4,"red"
7.4,0.47,0.46,2.2,0.114,7,20,0.99647,3.32,0.63,10.5,3,"red"
8.9,0.22,0.48,1.8,0.077,29,60,0.9968,3.39,0.53,9.4,4,"red"
6.9,0.51,0.23,2,0.072,13,22,0.99438,3.4,0.84,11.2,4,"red"
8.8,0.685,0.26,1.6,0.088,16,23,0.99694,3.32,0.47,9.4,3,"red"
6.5,0.88,0.03,5.6,0.079,23,47,0.99572,3.58,0.5,11.2,2,"red"
7.2,0.52,0.07,1.4,0.074,5,20,0.9973,3.32,0.81,9.6,4,"red"
7.5,0.52,0.42,2.3,0.087,8,38,0.9972,3.58,0.61,10.5,4,"red"
7,0.43,0.3,2,0.085,6,39,0.99346,3.33,0.46,11.9,4,"red"
5.6,0.915,0,2.1,0.041,17,78,0.99346,3.68,0.73,11.4,3,"red"
6.6,0.735,0.02,7.9,0.122,68,124,0.9994,3.47,0.53,9.9,3,"red"
9,0.4,0.41,2,0.058,15,40,0.99414,3.22,0.6,12.2,4,"red"
9.5,0.56,0.33,2.4,0.089,35,67,0.9972,3.28,0.73,11.8,5,"red"
8.1,1.33,0,1.8,0.082,3,12,0.9964,3.54,0.48,10.9,3,"red"
