# glaciers              package:nasaweather              R Documentation
#
# Glacier locations
#
# Description:
#
#      Downloaded by Dianne Cook.
#
# Format:
#
#      id A 12/13-character unique glacier identifier
#
#      name 30-character name of the glacier.
#
#      lat,long Location of the glacier: "The point on the glacier whose
#           coordinates are given should be in the upper part of the
#           ablation area, in the main stream and sufficiently high so as
#           not to be lost if the glacier retreats"
#
#      area The total area of the glacier in a horizontal projection in
#           square kilometres, up to 6 digits.
#
#      country 2-character abbreviation for the name of the country or
#           territory in which the glacier is located. These codes are
#           ISO3166 country codes
#
# Source:
#
#      <URL: http://nsidc.org/data/glacier_inventory/>
#
#
#    Hadley Wickham's nasaweather-0.1 package,
# see https://cran.r-project.org/package=nasaweather
#
#  License: GPL-3
"id","name","lat","long","area","country"
"CO1A0102001","NUEVO 9",10.83333333,-73.56666667,"0.01","CO"
"CO1A0103001","NUEVO 8",10.83333333,-73.58333333,"0.03","CO"
"CO1A0103002","NUEVO 7",10.83333333,-73.58333333,"0.03","CO"
"CO1A0103003","NUEVO 6",10.83333333,-73.58333333,"0.01","CO"
"CO1A0103004","NUEVO 5",10.83333333,-73.58333333,"0.04","CO"
"CO1A0103005","PALOMINO GR 2",10.83333333,-73.6,"1.08","CO"
"CO1A0103006","PALOMINO GR 1",10.83333333,-73.6,"0.1","CO"
"CO1A0103007","PALOMINO CH 3",10.83333333,-73.6,"0.02","CO"
"CO1A0103008","PALOMINO CH 1",10.83333333,-73.61666667,"0.01","CO"
"CO1A0103009","PALOMINO CH 2",10.83333333,-73.6,"0.01","CO"
"CO1A0103011","OJEDA N 5",10.83333333,-73.63333333,"0.02","CO"
"CO1A0103012","OJEDA N 4",10.83333333,-73.63333333,"0.14","CO"
"CO1A0103013","OJEDA N 3",10.83333333,-73.63333333,"0.01","CO"
"CO1A0103014","OJEDA N 2",10.83333333,-73.63333333,"0.09","CO"
"CO1A0103015","OJEDA N 1",10.83333333,-73.63333333,"0.03","CO"
"CO1A0103016","CHIMAKA N 4",10.83333333,-73.65,"0.01","CO"
"CO1A0103017","CHIMAKA N",10.83333333,-73.65,"0.01","CO"
"CO1A0103018","CHIMAKA N 2",10.83333333,-73.65,"0.01","CO"
"CO1A0103019","CHIMAKA N 1",10.83333333,-73.65,"0.01","CO"
"CO1A0103020","NAC PALOM 1",10.83333333,-73.66666667,"0.02","CO"
"CO1A0103021","NAC PALOMINO 2",10.83333333,-73.66666667,"0.14","CO"
"CO1A0103022","NA",10.83333333,-73.68333333,"0.18","CO"
"CO1A0103023","BOLIVAR CHICO",10.83333333,-73.68333333,"0.06","CO"
"CO1A0103024","BOLIVAR N",10.83333333,-73.68333333,"1.5","CO"
"CO1A0103025","SIMONS N 2",10.83333333,-73.7,"0.33","CO"
"CO1A0103026","SIMONS N 1",10.83333333,-73.7,"0.12","CO"
"CO1A0103027","RUIZ N CHICO",10.85,-73.71666667,"0.01","CO"
"CO1A0103028","RUIZ N GRANDE",10.85,-73.71666667,"0.15","CO"
"CO1A0103030","MENDERS 6",10.85,-73.71666667,"0.04","CO"
"CO1A0103031","MENDERS 5",10.85,-73.71666667,"0.02","CO"
"CO1A0103032","MENDERS 4",10.85,-73.71666667,"0.01","CO"
"CO1A0103033","MENDERS 2",10.85,-73.73333333,"0.06","CO"
"CO1A0103034","MENDERS 1",10.85,-73.73333333," NA","CO"
"CO1A0104001","MENDERS 3",10.85,-73.73333333,"0.03","CO"
"CO1A0104002","MENDERS 7",10.85,-73.71666667,"0.04","CO"
"CO1A0104003","RUIZ CHICO S",10.85,-73.71666667,"0.05","CO"
"CO1A0104004","RUIZ W. GRANDE S",10.85,-73.71666667,"0.21","CO"
"CO1A0104005","SIMONS GRANDE",10.85,-73.71666667,"2.84","CO"
"CO1A0104006","SIMONS O",10.83333333,-73.73333333,"0.66","CO"
"CO1A0104007","RUIZ BRAZO N",10.83333333,-73.73333333,"0.18","CO"
"CO1A0104008","RUIZ BRAZO CHICO",10.83333333,-73.73333333,"0.02","CO"
"CO1A0105001","RUIZ BRAZO S",10.83333333,-73.73333333,"0.11","CO"
"CO1A0105002","RUIZ BRAZO XY",10.83333333,-73.73333333,"0.15","CO"
"CO1A0105003","MEDIA LUNA",10.83333333,-73.71666667,"0.1","CO"
"CO1A0105004","SIMONS S",10.83333333,-73.71666667,"0.6","CO"
"CO1A0105005","HERRADURA",10.83333333,-73.71666667,"0.06","CO"
"CO1A0105006","BOLIVAR O 1",10.83333333,-73.7,"1.44","CO"
"CO1A0105007","BOLIVAR O 2",10.83333333,-73.7,"0.09","CO"
"CO1A0105008","BOLIVAR O 3",10.83333333,-73.7,"0.56","CO"
"CO1A0106001","BOLIVAR A",10.81666667,-73.68333333,"1.26","CO"
"CO1A0106002","BOLIVAR B",10.81666667,-73.68333333,"0.52","CO"
"CO1A0106003","CHUMAKA S 1",10.81666667,-73.66666667,"0.63","CO"
"CO1A0106007","TAIRONA S 4",10.78333333,-73.65,"0.16","CO"
"CO1A0106008","TAIRONA 2",10.78333333,-73.65,"0.01","CO"
"CO1A0106009","GUARDIAN N 1",10.78333333,-73.65,"0.34","CO"
"CO1A0107001","GUARDIAN S 1",10.78333333,-73.6,"0.01","CO"
"CO1A0107002","GUARDIAN S 2",10.78333333,-73.63333333,"0.02","CO"
"CO1A0107003","GUARDIAN S 3",10.78333333,-73.63333333,"0.11","CO"
"CO1A0107004","GUARDIAN S 4",10.78333333,-73.63333333,"0.07","CO"
"CO1A0107005","GUARDIAN S 5",10.78333333,-73.63333333," NA","CO"
"CO1A0108001","GUARDIAN 9",10.8,-73.65," NA","CO"
"CO1A0108002","GUARDIAN 8",10.8,-73.65," NA","CO"
"CO1A0108003","GUARDIAN 7",10.8,-73.65,"0.01","CO"
"CO1A0108004","GUARDIAN 6",10.8,-73.65,"0.01","CO"
"CO1A0108006","GUARDIAN 4",10.8,-73.65,"0.04","CO"
"CO1A0108007","GUARDIAN 3",10.8,-73.65,"0.09","CO"
"CO1A0108008","GUARDIAN 2",10.8,-73.65,"0.13","CO"
"CO1A0108009","OJEDA S 1",10.8,-73.65,"0.04","CO"
"CO1A0108010","OJEDA S 2",10.81666667,-73.63333333,"0.05","CO"
"CO1A0108011","REINA A",10.81666667,-73.63333333,"0.51","CO"
"CO1A0108012","REINA CHICA 1",10.81666667,-73.63333333,"0.23","CO"
"CO1A0108013","REINA CHICA 2",10.81666667,-73.63333333,"0.13","CO"
"CO1A0108014","REINA CHICA 3",10.81666667,-73.63333333,"0.04","CO"
"CO1A0108015","REINA A",10.81666667,-73.63333333,"0.16","CO"
"CO1A0108016","REINA CHICO 4",10.81666667,-73.63333333,"0.02","CO"
"CO1A0108017","REINA CHICO 5",10.81666667,-73.61666667,"0.01","CO"
"CO1A0108018","REINA CHICO VI",10.81666667,-73.61666667,"0.01","CO"
"CO1A0108019","REINA CHICO 7",10.81666667,-73.61666667,"0.02","CO"
"CO1A0108020","RAMIREZ S 1",10.81666667,-73.6,"0.04","CO"
"CO1A0108021","RAMIREZ S 2",10.81666667,-73.6,"0.03","CO"
"CO1A0108022","RAMIREZ S 3",10.81666667,-73.58333333," NA","CO"
"EC1D3031001","NA",-1.653333333,-78.42,"0.2","EC"
"EC1D3031002","NA",-1.666666667,-78.41333333,"3","EC"
"EC1D3031003","NA",-1.676666667,-78.42333333,"0.2","EC"
"EC1D3031004","NA",-1.641666667,-78.42833333,"1","EC"
"EC1D3031005","NA",-1.643333333,-78.41166667,"1.2","EC"
"EC1D3031006","NA",-1.651666667,-78.395,"2.3","EC"
"EC1D3031007","NA",-1.671666667,-78.39166667,"2.3","EC"
"EC1D3031008","NA",-1.685,-78.395,"2.3","EC"
"EC1D3031009","NA",-1.69,-78.41666667,"2.3","EC"
"EC1D3034001","NA",-0.778333333,-78.32666667,"0.03","EC"
"EC1D3034002","NA",-0.778333333,-78.32833333,"0.03","EC"
"EC1D3035001","TAMBOYACU",-0.6805,-78.42783333,"1.41","EC"
"EC1D3035002","MANANTIAL",-0.6805,-78.42783333,"1.83","EC"
"EC1D3035003","TAMBO",-0.6805,-78.42783333,"1.08","EC"
"EC1D3035004","CHURRUMIHURCO",-0.6805,-78.42783333,"1.22","EC"
"EC1D3035005","SIMARRONES",-0.6805,-78.42783333,"1.46","EC"
"EC1D3035006","EL PICACHO",-0.6805,-78.42783333,"1.25","EC"
"EC1D3035007","SAQUIMALA",-0.6805,-78.42783333,"0.67","EC"
"EC1D3035008","SAN LORENZO",-0.6805,-78.42783333,"1.06","EC"
"EC1D3035009","CAPULI-HUAICU",-0.6805,-78.42783333,"0.69","EC"
"EC1D3035010","PUCAHUAYCU OESTE",-0.6805,-78.42783333,"0.26","EC"
"EC1D3035011","CHANCHUNGA SUR",-0.6805,-78.42783333,"0.34","EC"
"EC1D3035012","CHANCHUNGA NORTE",-0.6805,-78.42783333,"0.63","EC"
"EC1D3035013","YANASACHA",-0.6805,-78.42783333,"0.84","EC"
"EC1D3036001","NA",-0.531666667,-78.37,"0.06","EC"
"EC1D3036002","NA",-0.536666667,-78.36833333,"0.06","EC"
"EC1D3036003","NA",-0.535,-78.375,"0.06","EC"
"EC1D3037001","NA",-0.468333333,-78.12666667,"2","EC"
"EC1D3037002","NA",-0.471666667,-78.11666667,"2.2","EC"
"EC1D3037003","NA",-0.475,-78.11333333,"1","EC"
"EC1D3037004","NA",-0.486666667,-78.10833333,"1.6","EC"
"EC1D3037005","NA",-0.493333333,-78.11,"1.6","EC"
"EC1D3037006","NA",-0.501666667,-78.12,"1.6","EC"
"EC1D3037007","NA",-0.503333333,-78.125,"1.6","EC"
"EC1D3037008","NA",-0.503333333,-78.13333333,"1.6","EC"
"EC1D3037009","NA",-0.501666667,-78.14166667,"1.6","EC"
"EC1D3037010","NA",-0.5,-78.14666667,"1.6","EC"
"EC1D3037011","NA",-0.496666667,-78.15,"1.6","EC"
"EC1D3037012","GREAT WEST",-0.491666667,-78.15666667,"2","EC"
"EC1D3037013","NA",-0.483333333,-78.155,"2","EC"
"EC1D3037014","GUAGRAIALINA",-0.476666667,-78.15333333,"1.8","EC"
"EC1D3037015","NA",-0.47,-78.15,"2","EC"
"EC1D3037016","NA",-0.463333333,-78.14166667,"1.7","EC"
"EC1D3037017","NA",-0.463333333,-78.135,"1.7","EC"
"EC1D3039001","NA",0.048333333,-77.99666667,"1.5","EC"
"EC1D3039002","NA",0.046666667,-77.98833333,"1.2","EC"
"EC1D3039003","NA",0.04,-77.98833333,"1.2","EC"
"EC1D3039004","NA",0.035,-77.98833333,"1.2","EC"
"EC1D3039005","NA",0.028333333,-77.97333333,"1.2","EC"
"EC1D3039006","NA",0.028333333,-77.96833333,"1.2","EC"
"EC1D3039007","NA",0.02,-77.96666667,"1.2","EC"
"EC1D3039008","NA",0.016666667,-77.96166667,"1.2","EC"
"EC1D3039009","NA",0.006666667,-77.945,"1.2","EC"
"EC1D3039010","NA",0.001666667,-77.94666667,"1.2","EC"
"EC1D3039011","NA",-0.003333333,-77.94833333,"1.2","EC"
"EC1D3039012","NA",-0.008333333,-77.96833333,"1.2","EC"
"EC1D3039013","NA",-0.01,-77.97833333,"1.2","EC"
"EC1D3039014","NA",-0.01,-77.98333333,"1.2","EC"
"EC1D3039015","NA",-0.01,-77.99,"1.2","EC"
"EC1D3039016","NA",-0.006666667,-78.00333333,"1.2","EC"
"EC1D3039017","ESPINOZA",0.001666667,-78.015,"1.2","EC"
"EC1D3039018","NA",0.013333333,-78.01333333,"1.2","EC"
"EC1D3039019","NA",0.02,-78.01333333,"1.2","EC"
"EC1D3039020","CHUQUIRA CUCHO",0.051666667,-78.00333333,"1.2","EC"
"EC1Q0005001","PUCAHUAYCU NORTE",-0.6805,-78.42783333,"1.08","EC"
"EC1Q0005002","SINDIPAMPA",-0.6805,-78.42783333,"1.25","EC"
"EC1Q0005003","POTRERILLOS",-0.6805,-78.42783333,"0.88","EC"
"EC1Q0005004","CARERO MACHAY",-0.6805,-78.42783333,"0.84","EC"
"EC1Q0005021","CAJAS",-0.6805,-78.42783333,"1.25","EC"
"EC1Q0005022","MUDADERO",-0.6805,-78.42783333,"1.05","EC"
"EC1Q00011001","SPRUCE",-1.438333333,-78.81166667,"1.6","EC"
"EC1Q00011002","ABRASPUNGO",-1.44,-78.80166667,"1.4","EC"
"EC1Q00011003","HANS MEYER",-1.441666667,-78.795,"1.7","EC"
"EC1Q00011004","BESCHREITER",-1.45,-78.79,"1.6","EC"
"EC1Q00011005","CARLOS ZAMBRANO",-1.458333333,-78.79,"0.8","EC"
"EC1Q00011006","THEODORO WOLF",-1.461666667,-78.78833333,"1.2","EC"
"EC1Q00011007","GARCIA MORENO",-1.47,-78.78666667,"1.2","EC"
"EC1Q00011008","CHUQUIPOQUIO",-1.473333333,-78.78666667,"0.8","EC"
"EC1Q00011009","BOUSSIGNAULT",-1.476666667,-78.78833333,"1.2","EC"
"EC1Q00011010","NICOLAS MARTINEZ",-1.476666667,-78.79166667,"0.3","EC"
"EC1Q00011011","NA",-1.476666667,-78.79333333,"0.3","EC"
"EC1Q00011012","CARLOS PINTO",-1.476666667,-78.795,"0.3","EC"
"EC1Q00011013","SUEDOST",-1.478333333,-78.79833333,"0.8","EC"
"EC1Q00011014","SUEDSUEDOST",-1.481666667,-78.80333333,"0.8","EC"
"EC1Q00011015","KLEINER SUED",-1.481666667,-78.81,"0.8","EC"
"EC1Q00011016","GROSSER SUED",-1.483333333,-78.82,"0.8","EC"
"EC1Q00011017","TOTORILLAS",-1.481666667,-78.82,"1","EC"
"EC1Q00011018","ESCOMBROS",-1.476666667,-78.83333333,"0.7","EC"
"EC1Q00011019","THIELMANN",-1.468333333,-78.84166667,"1.3","EC"
"EC1Q00011020","STUEBEL",-1.465,-78.845,"1.4","EC"
"EC1Q00011021","LEA HEARN",-1.458333333,-78.84666667,"0.1","EC"
"EC1Q00011022","REISS",-1.45,-78.83,"1.4","EC"
"EC1Q00012001","NA",-1.395,-78.74666667,"0.06","EC"
"EC1Q00012002","NA",-1.4,-78.74666667,"0.06","EC"
"EC1Q00012003","NA",-1.403333333,-78.74166667,"0.06","EC"
"EC1Q00012004","NA",-1.41,-78.74833333,"0.1","EC"
"EC1Q00012005","NA",-1.408333333,-78.75,"0.1","EC"
"EC1Q00012006","NA",-1.408333333,-78.755,"0.1","EC"
"EC1Q00012007","NA",-1.403333333,-78.76166667,"0.1","EC"
"EC1Q00012008","NA",-1.4,-78.76166667,"0.1","EC"
"EC1Q00012009","NA",-1.398333333,-78.76166667,"0.1","EC"
"EC1Q00013001","NA",-0.655,-78.71,"0.1","EC"
"EC1Q00013002","NA",-0.66,-78.71,"0.06","EC"
"EC1Q00013003","NA",-0.661666667,-78.71,"0.06","EC"
"EC1Q00013004","NA",-0.663333333,-78.71,"0.06","EC"
"EC1Q00013005","NA",-0.663333333,-78.71,"0.06","EC"
"EC1Q00013006","NA",-0.663333333,-78.71333333,"0.1","EC"
"EC1Q00013007","NA",-0.661666667,-78.7,"0.1","EC"
"EC1Q00013008","NA",-0.658333333,-78.71666667,"0.1","EC"
"EC1Q00013009","NA",-0.653333333,-78.715,"0.1","EC"
"EC1Q00013010","NA",-0.6605,-78.71233333,"0.1","EC"
"EC1Q00014001","NA",0.371666667,-78.34333333,"0.03","EC"
"EC1Q00014002","NA",0.37,-78.34333333,"0.03","EC"
"PE1D3503001","QUIULACOCHA 1",-10.49766667,-76.01116667,"0.25","PE"
"PE1D3503002","QUIULACOCHA 2",-10.501,-76.01666667,"0.3","PE"
"PE1D3503003","NA",-10.506,-76.00616667,"0.03","PE"
"PE1D3503004","NA",-10.50616667,-76.00483333,"0.02","PE"
"PE1D3503005","QUIULACOCHA 3",-10.50216667,-76.00483333,"0.29","PE"
"PE1D3503006","QUIULACOCHA 4",-10.49716667,-76.0065,"0.23","PE"
"PE1D3503007","NA",-10.48383333,-75.98516667,"0.35","PE"
"PE1D3503008","NA",-10.48733333,-75.98266667,"0.06","PE"
"PE1D3503009","NA",-10.49066667,-75.98083333,"0.11","PE"
"PE1D3503010","NA",-10.4965,-75.97466667,"0.13","PE"
"PE1D3503011","NA",-10.4995,-75.972,"0.06","PE"
"PE1D3503012","NA",-10.47883333,-75.94666667,"0.02","PE"
"PE1D3503013","NA",-10.47916667,-75.94533333,"0.08","PE"
"PE1D3503014","GANGRAJANKA",-10.48083333,-75.93766667,"0.43","PE"
"PE1D3503015","NA",-10.47966667,-75.9265,"0.06","PE"
"PE1D3503016","NA",-10.48266667,-75.92483333,"0.05","PE"
"PE1D3503017","NA",-10.50333333,-75.92916667,"0.08","PE"
"PE1D3503018","NA",-10.50866667,-75.928,"0.06","PE"
"PE1D3503019","NA",-10.51683333,-75.92566667,"0.57","PE"
"PE1D3503020","TARATA",-10.522,-75.93533333,"1.46","PE"
"PE1D3503021","TARATA 2",-10.51633333,-75.94483333,"0.22","PE"
"PE1D3503022","HUAGORUNCHO 1",-10.51833333,-75.94866667,"0.85","PE"
"PE1D3503023","HUAGORUNCHO 2",-10.52033333,-75.95383333,"0.39","PE"
"PE1D3503024","NA",-10.526,-75.96366667,"0.45","PE"
"PE1D3503025","NA",-10.52883333,-75.97033333,"0.44","PE"
"PE1D3503026","NA",-10.5355,-75.97016667,"0.25","PE"
"PE1D3503027","NA",-10.53733333,-75.96733333,"0.1","PE"
"PE1D3503028","NA",-10.534,-75.96416667,"0.31","PE"
"PE1D3503029","TARATA 3",-10.52833333,-75.95266667,"1.32","PE"
"PE1D3503030","NA",-10.5295,-75.93933333,"0.96","PE"
"PE1D3503031","NA",-10.53416667,-75.932,"0.45","PE"
"PE1D3503032","NA",-10.54766667,-75.94066667,"0.21","PE"
"PE1D3503033","NA",-10.552,-75.94116667,"0.16","PE"
"PE1D3503035","NA",-10.55833333,-75.94116667,"0.15","PE"
"PE1D3503036","NA",-10.56183333,-75.94166667,"0.1","PE"
"PE1D3503037","NA",-10.56083333,-75.93716667,"0.45","PE"
"PE1D3503038","NA",-10.5515,-75.936,"0.34","PE"
"PE1D3503039","NA",-10.55,-75.93166667,"0.07","PE"
"PE1D3503040","HUAGORUNCHO",-10.5375,-75.92316667,"1.53","PE"
"PE1D3503041","NA",-10.54516667,-75.90883333,"0.03","PE"
"PE1D3503042","NA",-10.54,-75.9105,"0.31","PE"
"PE1D3503043","NA",-10.52583333,-75.921,"1.74","PE"
"PE1D3503044","NA",-10.51616667,-75.909,"0.06","PE"
"PE1D3503045","NA",-10.5125,-75.90366667,"0.06","PE"
"PE1D3503046","NA",-10.50933333,-75.888,"0.98","PE"
"PE1D3503047","NA",-10.51433333,-75.8825,"0.33","PE"
"PE1D3503048","NA",-10.53733333,-75.87166667,"0.05","PE"
"PE1D3503049","NA",-10.55833333,-75.86333333,"0.19","PE"
"PE1D3503050","NAUSANCA 1",-10.56333333,-75.87216667,"0.1","PE"
"PE1D3503051","NAUSANCA 2",-10.5655,-75.87333333,"0.14","PE"
"PE1D3503052","NA",-10.56166667,-75.8595,"0.05","PE"
"PE1D3503053","NA",-10.56533333,-75.854,"0.28","PE"
"PE1D3503054","NA",-10.56583333,-75.8485,"0.04","PE"
"PE1D3503055","HUALGASHJANKA",-10.562,-75.846,"0.38","PE"
"PE1D3503056","NA",-10.56116667,-75.857,"0.19","PE"
"PE1D3503057","MATA",-10.55233333,-75.86033333,"0.08","PE"
"PE1D3503058","NA",-10.53966667,-75.837,"0.1","PE"
"PE1D35034D01","NA",-11.7205,-74.93883333,"0.57","PE"
"PE1D35034D02","NA",-11.72383333,-74.94716667,"0.47","PE"
"PE1D35034D03","NA",-11.732,-74.9495,"0.51","PE"
"PE1D35034D04","NA",-11.73816667,-74.95116667,"0.12","PE"
"PE1D35034D05","NA",-11.7465,-74.97283333,"0.03","PE"
"PE1D35034D06","NA",-11.73616667,-74.98116667,"0.12","PE"
"PE1D35034D07","NA",-11.741,-74.98016667,"0.1","PE"
"PE1D35034D08","NA",-11.7475,-74.97466667,"0.18","PE"
"PE1D35034D09","NA",-11.75333333,-74.9605,"0.39","PE"
"PE1D35034D10","NA",-11.75483333,-74.95366667,"0.11","PE"
"PE1D35034D11","NA",-11.75583333,-74.94916667,"0.16","PE"
"PE1D35034D12","NA",-11.79633333,-74.99366667,"0.11","PE"
"PE1D35034E01","NA",-11.78483333,-75,"0.21","PE"
"PE1D35034E02","NA",-11.796,-74.99666667,"0.81","PE"
"PE1D35034E03","NA",-11.8075,-74.99316667,"0.43","PE"
"PE1D35034E04","NA",-11.85033333,-75.04316667,"0.26","PE"
"PE1D35034E05","NA",-11.84866667,-75.04716667,"0.05","PE"
"PE1D35034E06","NA",-11.8525,-75.04683333,"0.28","PE"
"PE1D35034E07","NA",-11.86366667,-75.04916667,"0.66","PE"
"PE1D35034E08","NA",-11.87266667,-75.0535,"0.67","PE"
"PE1D35034E09","NA",-11.87833333,-75.06233333,"1.6","PE"
"PE1D35034E10","NA",-11.86716667,-75.07033333,"0.08","PE"
"PE1D35034E11","NA",-11.86383333,-75.071,"0.05","PE"
"PE1D35034E12","NA",-11.85966667,-75.07183333,"0.03","PE"
"PE1D35034E13","NA",-11.85783333,-75.07366667,"0.04","PE"
"PE1D35034E14","NA",-11.855,-75.07483333,"0.08","PE"
"PE1D35034E15","NA",-11.85283333,-75.0775,"0.08","PE"
"PE1D35034E16","NA",-11.84866667,-75.07883333,"0.35","PE"
"PE1D35034E17","NA",-11.844,-75.0745,"0.06","PE"
"PE1D35034E18","NA",-11.8415,-75.0735,"0.02","PE"
"PE1D35034E19","NA",-11.84366667,-75.07966667,"0.31","PE"
"PE1D35034E20","PAUCHO",-11.8375,-75.08383333,"0.55","PE"
"PE1D35034E21","NA",-11.83116667,-75.08633333,"0.32","PE"
"PE1D35034E22","NA",-11.82216667,-75.089,"0.35","PE"
"PE1D35034E23","TELLO",-11.81716667,-75.08616667,"0.29","PE"
"PE1D35034E24","TELLO",-11.8105,-75.0825,"0.31","PE"
"PE1D35034E25","NA",-11.80716667,-75.07966667,"0.02","PE"
"PE1D35034E26","NA",-11.805,-75.08416667,"0.25","PE"
"PE1D35034E27","NA",-11.80033333,-75.08966667,"0.04","PE"
"PE1D35034E28","HUAYTAPALLANA",-11.8085,-75.08833333,"1.2","PE"
"PE1D35034E29","TELLO",-11.81633333,-75.09283333,"0.25","PE"
"PE1D35034E30","PANCHMACO 1",-11.77633333,-75.1,"0.21","PE"
"PE1D35034E31","PANCHAMACO 2",-11.7525,-75.09866667,"0.09","PE"
"PE1D35034F01","NA",-11.82033333,-75.09316667,"0.44","PE"
"PE1D35034F02","MURADAYO",-11.836,-75.0895,"0.64","PE"
"PE1D35034F03","MURADAYO 2",-11.84583333,-75.08683333,"1.03","PE"
"PE1D35034F04","SURU",-11.66366667,-75.22166667,"0.2","PE"
"PE1D35034F05","PUTCA",-11.67383333,-75.21116667,"0.23","PE"
"PE1D35034F06","YANAJA 1",-11.683,-75.2085,"0.29","PE"
"PE1D35034F07","YANAJA 2",-11.67816667,-75.211,"0.23","PE"
"PE1D35034F08","NA",-11.6715,-75.2115,"0.02","PE"
"PE1D35034F09","NA",-11.671,-75.2125,"0.02","PE"
"PE1D35034F10","NA",-11.623,-75.21083333,"0.05","PE"
"PE1D35034F11","NA",-11.62233333,-75.2075,"0.05","PE"
"PE1D35034F12","NA",-11.624,-75.1945,"0.12","PE"
"PE1D35034G01","MARAIRAZO 1",-11.62066667,-75.19666667,"0.22","PE"
"PE1D35034G02","MARAIRAZO 2",-11.61983333,-75.20583333,"0.37","PE"
"PE1D35034G03","MARAIRAZO 3",-11.61833333,-75.21083333,"0.2","PE"
"PE1D35034G04","MARAIRAZO 4",-11.6195,-75.2145,"0.59","PE"
"PE1D35034G05","VERDECOCHA",-11.598,-75.2835,"0.17","PE"
"PE1D35034G06","YANACOCHA",-11.584,-75.282,"0.17","PE"
"PE1D3512101","NA",-10.403,-76.02816667,"0.05","PE"
"PE1D3512102","JUCHUJANCA",-10.42116667,-76.0265,"0.16","PE"
"PE1D3512103","NA",-10.42466667,-76.029,"0.1","PE"
"PE1D3512201","ALTOS MACHAY",-10.53266667,-75.86883333,"0.18","PE"
"PE1D3512202","NA",-10.527,-75.86783333,"0.17","PE"
"PE1D3512203","NA",-10.50983333,-75.8805,"0.32","PE"
"PE1D3512204","NA",-10.5055,-75.88183333,"0.39","PE"
"PE1D3512205","NA",-10.50266667,-75.8905,"0.58","PE"
"PE1D3512206","NA",-10.50866667,-75.90416667,"0.12","PE"
"PE1D3512207","NA",-10.51333333,-75.91083333,"0.55","PE"
"PE1D3512209","NA",-10.479,-75.92433333,"0.11","PE"
"PE1D3512210","NA",-10.47433333,-75.92483333,"0.03","PE"
"PE1D3512211","NA",-10.46183333,-75.933,"0.12","PE"
"PE1D3512212","NA",-10.47583333,-75.94333333,"0.32","PE"
"PE1D3512213","NA",-10.48383333,-75.982,"0.22","PE"
"PE1D3512214","NA",-10.47366667,-75.98616667,"0.09","PE"
"PE1D3512216","NA",-10.42483333,-76.023,"0.12","PE"
"PE1D3512217","NA",-10.4225,-76.02,"0.16","PE"
"PE1D3512218","NA",-10.41983333,-76.02366667,"0.05","PE"
"PE1D3512219","NA",-10.40333333,-76.02583333,"0.02","PE"
"PE1D3522E01","NA",-10.736,-76.62883333,"0.12","PE"
"PE1D3522E02","NA",-10.73666667,-76.62366667,"0.52","PE"
"PE1D3522E03","NA",-10.737,-76.613,"0.71","PE"
"PE1D3522E04","CUCHPANGA",-10.75966667,-76.5895,"1.28","PE"
